START 2026-09-24T17:40:02Z until [ -f ckpts/kh/stage1_k12_s1.pt ]; do sleep 30; done; python3 coverage_lean.py --ckpt ckpts/kh/stage1_k12_s1.pt --in data/p2/targets_reductio_req.jsonl --k 2000 --temperature 0.8 --seed 0 --batch 1024 --procs 2 --out artifacts/kh/cov_k12_s1_redreq
shard 0/1: 300 theorems, 0 already done; k=2000 T=0.8 batch=1024
targets_reductio_req_0: n_ok 169/2000 (nd-only 0, parse-fail 324) distinct_ok 1 first_hit 5 written_hist {8: 1} lean 6s (32s; 1 done, 32s/thm, ETA 158 min)
targets_reductio_req_1: n_ok 0/2000 (nd-only 0, parse-fail 913) distinct_ok 0 first_hit None written_hist {} lean 0s (17s; 2 done, 24s/thm, ETA 121 min)
targets_reductio_req_2: n_ok 3/2000 (nd-only 0, parse-fail 145) distinct_ok 1 first_hit 514 written_hist {7: 1} lean 3s (25s; 3 done, 25s/thm, ETA 122 min)
targets_reductio_req_3: n_ok 10/2000 (nd-only 0, parse-fail 862) distinct_ok 1 first_hit 183 written_hist {8: 1} lean 4s (24s; 4 done, 24s/thm, ETA 121 min)
targets_reductio_req_4: n_ok 0/2000 (nd-only 0, parse-fail 1037) distinct_ok 0 first_hit None written_hist {} lean 0s (23s; 5 done, 24s/thm, ETA 119 min)
targets_reductio_req_5: n_ok 0/2000 (nd-only 0, parse-fail 172) distinct_ok 0 first_hit None written_hist {} lean 0s (19s; 6 done, 23s/thm, ETA 114 min)
targets_reductio_req_6: n_ok 0/2000 (nd-only 0, parse-fail 1132) distinct_ok 0 first_hit None written_hist {} lean 0s (22s; 7 done, 23s/thm, ETA 113 min)
targets_reductio_req_7: n_ok 0/2000 (nd-only 0, parse-fail 1067) distinct_ok 0 first_hit None written_hist {} lean 0s (24s; 8 done, 23s/thm, ETA 113 min)
targets_reductio_req_8: n_ok 10/2000 (nd-only 0, parse-fail 147) distinct_ok 1 first_hit 38 written_hist {8: 1} lean 2s (20s; 9 done, 23s/thm, ETA 111 min)
targets_reductio_req_9: n_ok 0/2000 (nd-only 0, parse-fail 1157) distinct_ok 0 first_hit None written_hist {} lean 0s (24s; 10 done, 23s/thm, ETA 111 min)
targets_reductio_req_10: n_ok 0/2000 (nd-only 0, parse-fail 1239) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 11 done, 21s/thm, ETA 103 min)
targets_reductio_req_11: n_ok 0/2000 (nd-only 0, parse-fail 223) distinct_ok 0 first_hit None written_hist {} lean 0s (2s; 12 done, 20s/thm, ETA 95 min)
targets_reductio_req_12: n_ok 16/2000 (nd-only 0, parse-fail 479) distinct_ok 1 first_hit 177 written_hist {8: 1} lean 0s (3s; 13 done, 19s/thm, ETA 89 min)
targets_reductio_req_13: n_ok 1/2000 (nd-only 0, parse-fail 319) distinct_ok 1 first_hit 1394 written_hist {7: 1} lean 0s (4s; 14 done, 18s/thm, ETA 83 min)
targets_reductio_req_14: n_ok 0/2000 (nd-only 0, parse-fail 1265) distinct_ok 0 first_hit None written_hist {} lean 0s (2s; 15 done, 16s/thm, ETA 78 min)
targets_reductio_req_15: n_ok 0/2000 (nd-only 0, parse-fail 1487) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 16 done, 16s/thm, ETA 74 min)
targets_reductio_req_16: n_ok 9/2000 (nd-only 0, parse-fail 359) distinct_ok 1 first_hit 5 written_hist {8: 1} lean 0s (5s; 17 done, 15s/thm, ETA 71 min)
targets_reductio_req_17: n_ok 0/2000 (nd-only 0, parse-fail 574) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 18 done, 14s/thm, ETA 68 min)
targets_reductio_req_18: n_ok 0/2000 (nd-only 0, parse-fail 371) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 19 done, 14s/thm, ETA 65 min)
targets_reductio_req_19: n_ok 0/2000 (nd-only 0, parse-fail 603) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 20 done, 13s/thm, ETA 63 min)
targets_reductio_req_20: n_ok 0/2000 (nd-only 0, parse-fail 506) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 21 done, 13s/thm, ETA 61 min)
targets_reductio_req_21: n_ok 0/2000 (nd-only 0, parse-fail 1598) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 22 done, 13s/thm, ETA 59 min)
targets_reductio_req_22: n_ok 0/2000 (nd-only 0, parse-fail 845) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 23 done, 12s/thm, ETA 57 min)
targets_reductio_req_23: n_ok 0/2000 (nd-only 0, parse-fail 560) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 24 done, 12s/thm, ETA 56 min)
targets_reductio_req_24: n_ok 0/2000 (nd-only 0, parse-fail 953) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 25 done, 12s/thm, ETA 54 min)
targets_reductio_req_25: n_ok 0/2000 (nd-only 0, parse-fail 157) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 26 done, 12s/thm, ETA 53 min)
targets_reductio_req_26: n_ok 156/2000 (nd-only 0, parse-fail 404) distinct_ok 2 first_hit 15 written_hist {8: 1, 9: 1} lean 0s (6s; 27 done, 11s/thm, ETA 52 min)
targets_reductio_req_27: n_ok 24/2000 (nd-only 0, parse-fail 147) distinct_ok 1 first_hit 21 written_hist {7: 1} lean 0s (4s; 28 done, 11s/thm, ETA 50 min)
targets_reductio_req_28: n_ok 0/2000 (nd-only 0, parse-fail 1416) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 29 done, 11s/thm, ETA 50 min)
targets_reductio_req_29: n_ok 0/2000 (nd-only 0, parse-fail 246) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 30 done, 11s/thm, ETA 49 min)
targets_reductio_req_30: n_ok 0/2000 (nd-only 0, parse-fail 1262) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 31 done, 11s/thm, ETA 48 min)
targets_reductio_req_31: n_ok 21/2000 (nd-only 0, parse-fail 267) distinct_ok 1 first_hit 10 written_hist {7: 1} lean 0s (7s; 32 done, 11s/thm, ETA 47 min)
targets_reductio_req_32: n_ok 0/2000 (nd-only 0, parse-fail 1207) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 33 done, 10s/thm, ETA 46 min)
targets_reductio_req_33: n_ok 0/2000 (nd-only 0, parse-fail 886) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 34 done, 10s/thm, ETA 46 min)
