START 2026-09-24T16:49:17Z until [ -f ckpts/kh/stage1_k10_s0.pt ]; do sleep 30; done; python3 coverage_lean.py --ckpt ckpts/kh/stage1_k10_s0.pt --in data/p2/targets_reductio_req.jsonl --k 2000 --temperature 0.8 --seed 0 --batch 1024 --procs 2 --out artifacts/kh/cov_k10_s0_redreq
shard 0/1: 300 theorems, 0 already done; k=2000 T=0.8 batch=1024
targets_reductio_req_0: n_ok 0/2000 (nd-only 0, parse-fail 113) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 1 done, 4s/thm, ETA 22 min)
targets_reductio_req_1: n_ok 0/2000 (nd-only 0, parse-fail 1472) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 2 done, 4s/thm, ETA 21 min)
targets_reductio_req_2: n_ok 0/2000 (nd-only 0, parse-fail 132) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 3 done, 4s/thm, ETA 21 min)
targets_reductio_req_3: n_ok 2/2000 (nd-only 0, parse-fail 797) distinct_ok 1 first_hit 245 written_hist {8: 1} lean 0s (5s; 4 done, 4s/thm, ETA 21 min)
targets_reductio_req_4: n_ok 0/2000 (nd-only 0, parse-fail 1093) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 5 done, 4s/thm, ETA 21 min)
targets_reductio_req_5: n_ok 0/2000 (nd-only 0, parse-fail 541) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 6 done, 4s/thm, ETA 21 min)
targets_reductio_req_6: n_ok 0/2000 (nd-only 0, parse-fail 788) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 7 done, 4s/thm, ETA 21 min)
targets_reductio_req_7: n_ok 0/2000 (nd-only 0, parse-fail 744) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 8 done, 4s/thm, ETA 21 min)
targets_reductio_req_8: n_ok 5/2000 (nd-only 0, parse-fail 29) distinct_ok 2 first_hit 140 written_hist {8: 1, 9: 1} lean 0s (5s; 9 done, 4s/thm, ETA 21 min)
targets_reductio_req_9: n_ok 0/2000 (nd-only 0, parse-fail 645) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 10 done, 4s/thm, ETA 21 min)
targets_reductio_req_10: n_ok 0/2000 (nd-only 0, parse-fail 232) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 11 done, 4s/thm, ETA 21 min)
targets_reductio_req_11: n_ok 0/2000 (nd-only 0, parse-fail 707) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 12 done, 4s/thm, ETA 21 min)
targets_reductio_req_12: n_ok 0/2000 (nd-only 0, parse-fail 947) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 13 done, 4s/thm, ETA 21 min)
targets_reductio_req_13: n_ok 20/2000 (nd-only 0, parse-fail 325) distinct_ok 2 first_hit 133 written_hist {7: 1, 10: 1} lean 0s (6s; 14 done, 4s/thm, ETA 21 min)
targets_reductio_req_14: n_ok 0/2000 (nd-only 0, parse-fail 360) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 15 done, 4s/thm, ETA 21 min)
targets_reductio_req_15: n_ok 0/2000 (nd-only 0, parse-fail 295) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 16 done, 4s/thm, ETA 21 min)
targets_reductio_req_16: n_ok 16/2000 (nd-only 0, parse-fail 50) distinct_ok 1 first_hit 5 written_hist {8: 1} lean 0s (5s; 17 done, 4s/thm, ETA 21 min)
targets_reductio_req_17: n_ok 0/2000 (nd-only 0, parse-fail 269) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 18 done, 5s/thm, ETA 21 min)
targets_reductio_req_18: n_ok 0/2000 (nd-only 0, parse-fail 123) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 19 done, 5s/thm, ETA 21 min)
targets_reductio_req_19: n_ok 0/2000 (nd-only 0, parse-fail 583) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 20 done, 5s/thm, ETA 21 min)
targets_reductio_req_20: n_ok 0/2000 (nd-only 0, parse-fail 440) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 21 done, 5s/thm, ETA 21 min)
targets_reductio_req_21: n_ok 0/2000 (nd-only 0, parse-fail 1608) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 22 done, 5s/thm, ETA 21 min)
