START 2026-09-23T23:27:20Z until [ -f ckpts/dsc/stage1_a3_s1.pt ]; do sleep 30; done; python3 coverage_lean.py --ckpt ckpts/dsc/stage1_a3_s1.pt --in data/p2/targets_reductio_req.jsonl --k 2000 --temperature 0.8 --seed 0 --batch 1024 --procs 2 --out artifacts/dsc/cov_a3_s1_redreq
shard 0/1: 300 theorems, 0 already done; k=2000 T=0.8 batch=1024
targets_reductio_req_0: n_ok 35/2000 (nd-only 0, parse-fail 678) distinct_ok 1 first_hit 43 written_hist {8: 1} lean 0s (6s; 1 done, 6s/thm, ETA 31 min)
targets_reductio_req_1: n_ok 0/2000 (nd-only 0, parse-fail 1215) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 2 done, 7s/thm, ETA 33 min)
targets_reductio_req_2: n_ok 3/2000 (nd-only 0, parse-fail 148) distinct_ok 1 first_hit 557 written_hist {7: 1} lean 0s (8s; 3 done, 7s/thm, ETA 36 min)
targets_reductio_req_3: n_ok 248/2000 (nd-only 0, parse-fail 498) distinct_ok 1 first_hit 20 written_hist {8: 1} lean 0s (7s; 4 done, 7s/thm, ETA 35 min)
targets_reductio_req_4: n_ok 0/2000 (nd-only 0, parse-fail 1716) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 5 done, 7s/thm, ETA 35 min)
targets_reductio_req_5: n_ok 0/2000 (nd-only 0, parse-fail 699) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 6 done, 7s/thm, ETA 36 min)
targets_reductio_req_6: n_ok 0/2000 (nd-only 0, parse-fail 1662) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 7 done, 7s/thm, ETA 35 min)
targets_reductio_req_7: n_ok 0/2000 (nd-only 0, parse-fail 686) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 8 done, 7s/thm, ETA 35 min)
targets_reductio_req_8: n_ok 1/2000 (nd-only 0, parse-fail 418) distinct_ok 1 first_hit 1399 written_hist {8: 1} lean 0s (8s; 9 done, 7s/thm, ETA 36 min)
targets_reductio_req_9: n_ok 0/2000 (nd-only 0, parse-fail 791) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 10 done, 7s/thm, ETA 36 min)
targets_reductio_req_10: n_ok 0/2000 (nd-only 0, parse-fail 450) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 11 done, 8s/thm, ETA 36 min)
targets_reductio_req_11: n_ok 0/2000 (nd-only 0, parse-fail 143) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 12 done, 7s/thm, ETA 36 min)
targets_reductio_req_12: n_ok 17/2000 (nd-only 0, parse-fail 443) distinct_ok 1 first_hit 60 written_hist {8: 1} lean 0s (9s; 13 done, 8s/thm, ETA 36 min)
targets_reductio_req_13: n_ok 2/2000 (nd-only 0, parse-fail 403) distinct_ok 1 first_hit 296 written_hist {7: 1} lean 0s (8s; 14 done, 8s/thm, ETA 36 min)
targets_reductio_req_14: n_ok 0/2000 (nd-only 0, parse-fail 722) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 15 done, 8s/thm, ETA 36 min)
targets_reductio_req_15: n_ok 0/2000 (nd-only 0, parse-fail 189) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 16 done, 8s/thm, ETA 36 min)
targets_reductio_req_16: n_ok 0/2000 (nd-only 0, parse-fail 1904) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 17 done, 8s/thm, ETA 36 min)
targets_reductio_req_17: n_ok 0/2000 (nd-only 0, parse-fail 304) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 18 done, 8s/thm, ETA 36 min)
targets_reductio_req_18: n_ok 0/2000 (nd-only 0, parse-fail 138) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 19 done, 8s/thm, ETA 36 min)
targets_reductio_req_19: n_ok 0/2000 (nd-only 0, parse-fail 200) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 20 done, 8s/thm, ETA 36 min)
targets_reductio_req_20: n_ok 0/2000 (nd-only 0, parse-fail 950) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 21 done, 8s/thm, ETA 36 min)
targets_reductio_req_21: n_ok 0/2000 (nd-only 0, parse-fail 1114) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 22 done, 8s/thm, ETA 36 min)
targets_reductio_req_22: n_ok 0/2000 (nd-only 0, parse-fail 237) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 23 done, 8s/thm, ETA 36 min)
targets_reductio_req_23: n_ok 0/2000 (nd-only 0, parse-fail 226) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 24 done, 8s/thm, ETA 36 min)
targets_reductio_req_24: n_ok 0/2000 (nd-only 0, parse-fail 535) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 25 done, 8s/thm, ETA 36 min)
targets_reductio_req_25: n_ok 0/2000 (nd-only 0, parse-fail 210) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 26 done, 8s/thm, ETA 36 min)
targets_reductio_req_26: n_ok 0/2000 (nd-only 0, parse-fail 778) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 27 done, 8s/thm, ETA 36 min)
targets_reductio_req_27: n_ok 34/2000 (nd-only 0, parse-fail 25) distinct_ok 1 first_hit 43 written_hist {7: 1} lean 0s (7s; 28 done, 8s/thm, ETA 36 min)
targets_reductio_req_28: n_ok 0/2000 (nd-only 0, parse-fail 882) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 29 done, 8s/thm, ETA 35 min)
targets_reductio_req_29: n_ok 0/2000 (nd-only 0, parse-fail 322) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 30 done, 8s/thm, ETA 35 min)
targets_reductio_req_30: n_ok 0/2000 (nd-only 0, parse-fail 746) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 31 done, 8s/thm, ETA 35 min)
targets_reductio_req_31: n_ok 5/2000 (nd-only 0, parse-fail 285) distinct_ok 1 first_hit 157 written_hist {7: 1} lean 0s (9s; 32 done, 8s/thm, ETA 35 min)
targets_reductio_req_32: n_ok 0/2000 (nd-only 0, parse-fail 1211) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 33 done, 8s/thm, ETA 35 min)
targets_reductio_req_33: n_ok 0/2000 (nd-only 0, parse-fail 306) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 34 done, 8s/thm, ETA 35 min)
targets_reductio_req_34: n_ok 0/2000 (nd-only 0, parse-fail 329) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 35 done, 8s/thm, ETA 35 min)
targets_reductio_req_35: n_ok 0/2000 (nd-only 0, parse-fail 1722) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 36 done, 8s/thm, ETA 35 min)
targets_reductio_req_36: n_ok 0/2000 (nd-only 0, parse-fail 111) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 37 done, 8s/thm, ETA 35 min)
targets_reductio_req_37: n_ok 0/2000 (nd-only 0, parse-fail 59) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 38 done, 8s/thm, ETA 35 min)
targets_reductio_req_38: n_ok 0/2000 (nd-only 0, parse-fail 560) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 39 done, 8s/thm, ETA 34 min)
