START 2026-09-23T23:27:22Z until [ -f ckpts/dsc/stage1_a1_s0.pt ]; do sleep 30; done; python3 coverage_lean.py --ckpt ckpts/dsc/stage1_a1_s0.pt --in data/r3_1/depth3_req.jsonl --k 2000 --temperature 0.8 --seed 0 --batch 1024 --procs 2 --out artifacts/dsc/cov_a1_s0_d3req
shard 0/1: 300 theorems, 0 already done; k=2000 T=0.8 batch=1024
d3req_0: n_ok 0/2000 (nd-only 0, parse-fail 7) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 1 done, 6s/thm, ETA 30 min)
d3req_1: n_ok 650/2000 (nd-only 0, parse-fail 1097) distinct_ok 2 first_hit 7 written_hist {8: 2} lean 0s (7s; 2 done, 6s/thm, ETA 32 min)
d3req_2: n_ok 10/2000 (nd-only 0, parse-fail 11) distinct_ok 1 first_hit 543 written_hist {8: 1} lean 0s (7s; 3 done, 7s/thm, ETA 33 min)
d3req_3: n_ok 61/2000 (nd-only 0, parse-fail 1677) distinct_ok 1 first_hit 5 written_hist {8: 1} lean 0s (9s; 4 done, 7s/thm, ETA 36 min)
d3req_4: n_ok 25/2000 (nd-only 0, parse-fail 1974) distinct_ok 3 first_hit 290 written_hist {8: 3} lean 0s (9s; 5 done, 8s/thm, ETA 38 min)
d3req_5: n_ok 1/2000 (nd-only 0, parse-fail 136) distinct_ok 1 first_hit 594 written_hist {8: 1} lean 0s (10s; 6 done, 8s/thm, ETA 40 min)
d3req_6: n_ok 0/2000 (nd-only 0, parse-fail 3) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 7 done, 8s/thm, ETA 39 min)
d3req_7: n_ok 0/2000 (nd-only 0, parse-fail 1950) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 8 done, 8s/thm, ETA 40 min)
d3req_8: n_ok 16/2000 (nd-only 0, parse-fail 1984) distinct_ok 1 first_hit 15 written_hist {8: 1} lean 0s (11s; 9 done, 9s/thm, ETA 41 min)
d3req_9: n_ok 0/2000 (nd-only 0, parse-fail 1168) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 10 done, 9s/thm, ETA 42 min)
d3req_10: n_ok 14/2000 (nd-only 0, parse-fail 1878) distinct_ok 1 first_hit 160 written_hist {8: 1} lean 0s (11s; 11 done, 9s/thm, ETA 43 min)
d3req_11: n_ok 2/2000 (nd-only 0, parse-fail 1969) distinct_ok 1 first_hit 1685 written_hist {8: 1} lean 0s (11s; 12 done, 9s/thm, ETA 43 min)
d3req_12: n_ok 0/2000 (nd-only 0, parse-fail 1986) distinct_ok 0 first_hit None written_hist {} lean 0s (11s; 13 done, 9s/thm, ETA 44 min)
d3req_13: n_ok 388/2000 (nd-only 0, parse-fail 1600) distinct_ok 1 first_hit 15 written_hist {8: 1} lean 0s (10s; 14 done, 9s/thm, ETA 44 min)
