START 2026-09-24T00:16:12Z until [ -f ckpts/dsc/stage1_a2_s1.pt ]; do sleep 30; done; python3 coverage_lean.py --ckpt ckpts/dsc/stage1_a2_s1.pt --in data/dsc/targets_depth3_sub250.jsonl --k 2000 --temperature 0.8 --seed 0 --batch 1024 --procs 2 --out artifacts/dsc/cov_a2_s1_d3sub
shard 0/1: 250 theorems, 0 already done; k=2000 T=0.8 batch=1024
targets_depth3_1: n_ok 91/2000 (nd-only 0, parse-fail 383) distinct_ok 1 first_hit 4 written_hist {7: 1} lean 0s (10s; 1 done, 10s/thm, ETA 40 min)
targets_depth3_14: n_ok 544/2000 (nd-only 0, parse-fail 1363) distinct_ok 1 first_hit 5 written_hist {7: 1} lean 0s (8s; 2 done, 9s/thm, ETA 37 min)
targets_depth3_16: n_ok 33/2000 (nd-only 0, parse-fail 1770) distinct_ok 1 first_hit 78 written_hist {7: 1} lean 0s (9s; 3 done, 9s/thm, ETA 37 min)
targets_depth3_22: n_ok 646/2000 (nd-only 0, parse-fail 1334) distinct_ok 2 first_hit 3 written_hist {7: 1, 8: 1} lean 0s (9s; 4 done, 9s/thm, ETA 37 min)
targets_depth3_23: n_ok 23/2000 (nd-only 0, parse-fail 1442) distinct_ok 1 first_hit 156 written_hist {7: 1} lean 0s (8s; 5 done, 9s/thm, ETA 36 min)
targets_depth3_27: n_ok 292/2000 (nd-only 0, parse-fail 1707) distinct_ok 1 first_hit 3 written_hist {7: 1} lean 0s (9s; 6 done, 9s/thm, ETA 36 min)
targets_depth3_33: n_ok 115/2000 (nd-only 0, parse-fail 1810) distinct_ok 4 first_hit 11 written_hist {7: 4} lean 0s (6s; 7 done, 8s/thm, ETA 34 min)
targets_depth3_37: n_ok 7/2000 (nd-only 0, parse-fail 36) distinct_ok 1 first_hit 12 written_hist {7: 1} lean 0s (6s; 8 done, 8s/thm, ETA 33 min)
targets_depth3_39: n_ok 0/2000 (nd-only 0, parse-fail 71) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 9 done, 8s/thm, ETA 32 min)
targets_depth3_40: n_ok 216/2000 (nd-only 0, parse-fail 1707) distinct_ok 1 first_hit 5 written_hist {7: 1} lean 0s (7s; 10 done, 8s/thm, ETA 31 min)
targets_depth3_41: n_ok 125/2000 (nd-only 0, parse-fail 1863) distinct_ok 1 first_hit 7 written_hist {7: 1} lean 0s (10s; 11 done, 8s/thm, ETA 32 min)
targets_depth3_46: n_ok 24/2000 (nd-only 0, parse-fail 1920) distinct_ok 1 first_hit 144 written_hist {7: 1} lean 0s (8s; 12 done, 8s/thm, ETA 32 min)
targets_depth3_62: n_ok 287/2000 (nd-only 0, parse-fail 1156) distinct_ok 1 first_hit 15 written_hist {7: 1} lean 1s (9s; 13 done, 8s/thm, ETA 32 min)
targets_depth3_63: n_ok 37/2000 (nd-only 0, parse-fail 1958) distinct_ok 1 first_hit 4 written_hist {7: 1} lean 0s (8s; 14 done, 8s/thm, ETA 32 min)
targets_depth3_64: n_ok 57/2000 (nd-only 0, parse-fail 69) distinct_ok 2 first_hit 25 written_hist {7: 1, 8: 1} lean 0s (8s; 15 done, 8s/thm, ETA 32 min)
targets_depth3_70: n_ok 1081/2000 (nd-only 0, parse-fail 694) distinct_ok 1 first_hit 2 written_hist {7: 1} lean 0s (7s; 16 done, 8s/thm, ETA 31 min)
targets_depth3_71: n_ok 291/2000 (nd-only 0, parse-fail 1366) distinct_ok 1 first_hit 2 written_hist {7: 1} lean 0s (8s; 17 done, 8s/thm, ETA 31 min)
targets_depth3_73: n_ok 45/2000 (nd-only 0, parse-fail 514) distinct_ok 1 first_hit 6 written_hist {7: 1} lean 0s (8s; 18 done, 8s/thm, ETA 31 min)
targets_depth3_75: n_ok 0/2000 (nd-only 0, parse-fail 1991) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 19 done, 8s/thm, ETA 30 min)
targets_depth3_82: n_ok 90/2000 (nd-only 0, parse-fail 297) distinct_ok 1 first_hit 8 written_hist {7: 1} lean 0s (8s; 20 done, 8s/thm, ETA 30 min)
targets_depth3_84: n_ok 698/2000 (nd-only 0, parse-fail 368) distinct_ok 1 first_hit 2 written_hist {7: 1} lean 1s (9s; 21 done, 8s/thm, ETA 31 min)
targets_depth3_91: n_ok 117/2000 (nd-only 0, parse-fail 1808) distinct_ok 2 first_hit 1 written_hist {7: 2} lean 2s (14s; 22 done, 8s/thm, ETA 31 min)
targets_depth3_93: n_ok 0/2000 (nd-only 0, parse-fail 59) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 23 done, 8s/thm, ETA 31 min)
targets_depth3_95: n_ok 40/2000 (nd-only 0, parse-fail 1503) distinct_ok 2 first_hit 69 written_hist {7: 1, 8: 1} lean 1s (11s; 24 done, 8s/thm, ETA 32 min)
targets_depth3_97: n_ok 0/2000 (nd-only 0, parse-fail 27) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 25 done, 8s/thm, ETA 31 min)
targets_depth3_101: n_ok 114/2000 (nd-only 0, parse-fail 1877) distinct_ok 1 first_hit 18 written_hist {7: 1} lean 1s (13s; 26 done, 8s/thm, ETA 32 min)
targets_depth3_103: n_ok 414/2000 (nd-only 0, parse-fail 884) distinct_ok 1 first_hit 8 written_hist {7: 1} lean 0s (6s; 27 done, 8s/thm, ETA 31 min)
targets_depth3_111: n_ok 229/2000 (nd-only 0, parse-fail 1716) distinct_ok 1 first_hit 6 written_hist {7: 1} lean 0s (6s; 28 done, 8s/thm, ETA 31 min)
targets_depth3_118: n_ok 802/2000 (nd-only 0, parse-fail 397) distinct_ok 1 first_hit 3 written_hist {7: 1} lean 0s (7s; 29 done, 8s/thm, ETA 31 min)
targets_depth3_119: n_ok 300/2000 (nd-only 0, parse-fail 623) distinct_ok 2 first_hit 6 written_hist {7: 2} lean 1s (7s; 30 done, 8s/thm, ETA 30 min)
targets_depth3_122: n_ok 781/2000 (nd-only 0, parse-fail 458) distinct_ok 1 first_hit 2 written_hist {7: 1} lean 0s (5s; 31 done, 8s/thm, ETA 30 min)
targets_depth3_126: n_ok 4/2000 (nd-only 0, parse-fail 1994) distinct_ok 1 first_hit 953 written_hist {7: 1} lean 0s (9s; 32 done, 8s/thm, ETA 30 min)
targets_depth3_127: n_ok 1008/2000 (nd-only 0, parse-fail 943) distinct_ok 1 first_hit 2 written_hist {7: 1} lean 1s (7s; 33 done, 8s/thm, ETA 29 min)
targets_depth3_133: n_ok 44/2000 (nd-only 0, parse-fail 607) distinct_ok 4 first_hit 98 written_hist {7: 4} lean 0s (4s; 34 done, 8s/thm, ETA 29 min)
targets_depth3_142: n_ok 12/2000 (nd-only 0, parse-fail 1949) distinct_ok 1 first_hit 158 written_hist {7: 1} lean 0s (11s; 35 done, 8s/thm, ETA 29 min)
targets_depth3_143: n_ok 1/2000 (nd-only 0, parse-fail 1627) distinct_ok 1 first_hit 706 written_hist {7: 1} lean 0s (13s; 36 done, 8s/thm, ETA 29 min)
targets_depth3_145: n_ok 485/2000 (nd-only 0, parse-fail 1426) distinct_ok 1 first_hit 3 written_hist {7: 1} lean 0s (11s; 37 done, 8s/thm, ETA 30 min)
targets_depth3_149: n_ok 2/2000 (nd-only 0, parse-fail 1996) distinct_ok 1 first_hit 1019 written_hist {7: 1} lean 0s (12s; 38 done, 8s/thm, ETA 30 min)
targets_depth3_150: n_ok 928/2000 (nd-only 0, parse-fail 1043) distinct_ok 2 first_hit 1 written_hist {7: 2} lean 0s (12s; 39 done, 9s/thm, ETA 30 min)
targets_depth3_153: n_ok 87/2000 (nd-only 0, parse-fail 1908) distinct_ok 1 first_hit 26 written_hist {7: 1} lean 0s (11s; 40 done, 9s/thm, ETA 30 min)
targets_depth3_174: n_ok 3/2000 (nd-only 0, parse-fail 1978) distinct_ok 1 first_hit 26 written_hist {8: 1} lean 0s (7s; 41 done, 9s/thm, ETA 30 min)
targets_depth3_184: n_ok 37/2000 (nd-only 0, parse-fail 1899) distinct_ok 1 first_hit 6 written_hist {8: 1} lean 0s (9s; 42 done, 9s/thm, ETA 30 min)
targets_depth3_188: n_ok 1/2000 (nd-only 0, parse-fail 66) distinct_ok 1 first_hit 1895 written_hist {8: 1} lean 0s (6s; 43 done, 8s/thm, ETA 29 min)
targets_depth3_189: n_ok 30/2000 (nd-only 0, parse-fail 1109) distinct_ok 1 first_hit 6 written_hist {8: 1} lean 0s (8s; 44 done, 8s/thm, ETA 29 min)
targets_depth3_191: n_ok 96/2000 (nd-only 0, parse-fail 1853) distinct_ok 1 first_hit 36 written_hist {8: 1} lean 0s (9s; 45 done, 8s/thm, ETA 29 min)
targets_depth3_193: n_ok 0/2000 (nd-only 0, parse-fail 1995) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 46 done, 8s/thm, ETA 29 min)
targets_depth3_194: n_ok 47/2000 (nd-only 0, parse-fail 1498) distinct_ok 3 first_hit 26 written_hist {8: 3} lean 0s (9s; 47 done, 8s/thm, ETA 29 min)
targets_depth3_195: n_ok 312/2000 (nd-only 0, parse-fail 1670) distinct_ok 4 first_hit 3 written_hist {8: 3, 9: 1} lean 0s (6s; 48 done, 8s/thm, ETA 28 min)
targets_depth3_199: n_ok 0/2000 (nd-only 0, parse-fail 1622) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 49 done, 8s/thm, ETA 28 min)
targets_depth3_204: n_ok 0/2000 (nd-only 0, parse-fail 144) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 50 done, 8s/thm, ETA 28 min)
targets_depth3_208: n_ok 10/2000 (nd-only 0, parse-fail 1990) distinct_ok 1 first_hit 27 written_hist {8: 1} lean 0s (9s; 51 done, 8s/thm, ETA 28 min)
targets_depth3_209: n_ok 13/2000 (nd-only 0, parse-fail 1011) distinct_ok 2 first_hit 25 written_hist {8: 1, 9: 1} lean 0s (10s; 52 done, 8s/thm, ETA 28 min)
targets_depth3_215: n_ok 35/2000 (nd-only 0, parse-fail 1844) distinct_ok 1 first_hit 3 written_hist {8: 1} lean 0s (10s; 53 done, 8s/thm, ETA 28 min)
targets_depth3_220: n_ok 339/2000 (nd-only 0, parse-fail 146) distinct_ok 1 first_hit 11 written_hist {8: 1} lean 0s (7s; 54 done, 8s/thm, ETA 27 min)
targets_depth3_223: n_ok 326/2000 (nd-only 0, parse-fail 1596) distinct_ok 1 first_hit 7 written_hist {8: 1} lean 0s (11s; 55 done, 8s/thm, ETA 27 min)
targets_depth3_224: n_ok 0/2000 (nd-only 0, parse-fail 33) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 56 done, 8s/thm, ETA 27 min)
targets_depth3_225: n_ok 20/2000 (nd-only 0, parse-fail 1956) distinct_ok 1 first_hit 101 written_hist {8: 1} lean 0s (8s; 57 done, 8s/thm, ETA 27 min)
targets_depth3_226: n_ok 120/2000 (nd-only 0, parse-fail 1740) distinct_ok 1 first_hit 15 written_hist {8: 1} lean 0s (8s; 58 done, 8s/thm, ETA 27 min)
targets_depth3_227: n_ok 1/2000 (nd-only 0, parse-fail 774) distinct_ok 1 first_hit 559 written_hist {8: 1} lean 0s (8s; 59 done, 8s/thm, ETA 27 min)
targets_depth3_241: n_ok 5/2000 (nd-only 0, parse-fail 1686) distinct_ok 1 first_hit 131 written_hist {8: 1} lean 0s (8s; 60 done, 8s/thm, ETA 27 min)
targets_depth3_244: n_ok 124/2000 (nd-only 0, parse-fail 561) distinct_ok 2 first_hit 2 written_hist {8: 2} lean 0s (5s; 61 done, 8s/thm, ETA 26 min)
targets_depth3_247: n_ok 907/2000 (nd-only 0, parse-fail 865) distinct_ok 3 first_hit 1 written_hist {8: 3} lean 1s (8s; 62 done, 8s/thm, ETA 26 min)
targets_depth3_248: n_ok 243/2000 (nd-only 0, parse-fail 1329) distinct_ok 1 first_hit 22 written_hist {8: 1} lean 0s (8s; 63 done, 8s/thm, ETA 26 min)
targets_depth3_249: n_ok 95/2000 (nd-only 0, parse-fail 88) distinct_ok 1 first_hit 43 written_hist {7: 1} lean 0s (5s; 64 done, 8s/thm, ETA 26 min)
targets_depth3_256: n_ok 665/2000 (nd-only 0, parse-fail 158) distinct_ok 1 first_hit 1 written_hist {7: 1} lean 0s (5s; 65 done, 8s/thm, ETA 25 min)
targets_depth3_265: n_ok 13/2000 (nd-only 0, parse-fail 1934) distinct_ok 1 first_hit 41 written_hist {8: 1} lean 0s (8s; 66 done, 8s/thm, ETA 25 min)
targets_depth3_266: n_ok 1/2000 (nd-only 0, parse-fail 1148) distinct_ok 1 first_hit 517 written_hist {8: 1} lean 1s (8s; 67 done, 8s/thm, ETA 25 min)
targets_depth3_277: n_ok 68/2000 (nd-only 0, parse-fail 928) distinct_ok 2 first_hit 83 written_hist {7: 1, 8: 1} lean 2s (9s; 68 done, 8s/thm, ETA 25 min)
targets_depth3_281: n_ok 29/2000 (nd-only 0, parse-fail 60) distinct_ok 1 first_hit 23 written_hist {8: 1} lean 2s (10s; 69 done, 8s/thm, ETA 25 min)
targets_depth3_282: n_ok 71/2000 (nd-only 0, parse-fail 1657) distinct_ok 1 first_hit 64 written_hist {8: 1} lean 1s (11s; 70 done, 8s/thm, ETA 25 min)
targets_depth3_288: n_ok 133/2000 (nd-only 0, parse-fail 1760) distinct_ok 2 first_hit 28 written_hist {8: 2} lean 2s (8s; 71 done, 8s/thm, ETA 25 min)
targets_depth3_294: n_ok 1465/2000 (nd-only 0, parse-fail 44) distinct_ok 2 first_hit 2 written_hist {7: 1, 8: 1} lean 1s (8s; 72 done, 8s/thm, ETA 25 min)
targets_depth3_297: n_ok 979/2000 (nd-only 0, parse-fail 169) distinct_ok 2 first_hit 2 written_hist {8: 1, 9: 1} lean 1s (9s; 73 done, 8s/thm, ETA 24 min)
