START 2026-09-24T00:17:02Z until [ -f ckpts/dsc/stage1_a4_s1.pt ]; do sleep 30; done; python3 coverage_lean.py --ckpt ckpts/dsc/stage1_a4_s1.pt --in data/dsc/targets_depth3_sub250.jsonl --k 2000 --temperature 0.8 --seed 0 --batch 1024 --procs 2 --out artifacts/dsc/cov_a4_s1_d3sub
shard 0/1: 250 theorems, 0 already done; k=2000 T=0.8 batch=1024
targets_depth3_1: n_ok 0/2000 (nd-only 0, parse-fail 202) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 1 done, 5s/thm, ETA 20 min)
targets_depth3_14: n_ok 0/2000 (nd-only 0, parse-fail 2) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 2 done, 5s/thm, ETA 19 min)
targets_depth3_16: n_ok 1/2000 (nd-only 0, parse-fail 1990) distinct_ok 1 first_hit 1144 written_hist {7: 1} lean 0s (13s; 3 done, 7s/thm, ETA 30 min)
targets_depth3_22: n_ok 13/2000 (nd-only 0, parse-fail 1980) distinct_ok 2 first_hit 34 written_hist {7: 1, 8: 1} lean 0s (13s; 4 done, 9s/thm, ETA 36 min)
targets_depth3_23: n_ok 0/2000 (nd-only 0, parse-fail 1724) distinct_ok 0 first_hit None written_hist {} lean 0s (12s; 5 done, 9s/thm, ETA 38 min)
targets_depth3_27: n_ok 0/2000 (nd-only 0, parse-fail 1988) distinct_ok 0 first_hit None written_hist {} lean 0s (13s; 6 done, 10s/thm, ETA 41 min)
targets_depth3_33: n_ok 37/2000 (nd-only 0, parse-fail 1529) distinct_ok 4 first_hit 59 written_hist {7: 4} lean 0s (9s; 7 done, 10s/thm, ETA 40 min)
targets_depth3_37: n_ok 3/2000 (nd-only 0, parse-fail 12) distinct_ok 1 first_hit 52 written_hist {7: 1} lean 0s (9s; 8 done, 10s/thm, ETA 40 min)
targets_depth3_39: n_ok 107/2000 (nd-only 0, parse-fail 208) distinct_ok 1 first_hit 15 written_hist {7: 1} lean 0s (6s; 9 done, 9s/thm, ETA 38 min)
targets_depth3_40: n_ok 35/2000 (nd-only 0, parse-fail 1964) distinct_ok 1 first_hit 80 written_hist {7: 1} lean 0s (7s; 10 done, 9s/thm, ETA 36 min)
targets_depth3_41: n_ok 0/2000 (nd-only 0, parse-fail 1604) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 11 done, 9s/thm, ETA 36 min)
targets_depth3_46: n_ok 3/2000 (nd-only 0, parse-fail 254) distinct_ok 1 first_hit 255 written_hist {7: 1} lean 0s (7s; 12 done, 9s/thm, ETA 35 min)
targets_depth3_62: n_ok 0/2000 (nd-only 0, parse-fail 1954) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 13 done, 9s/thm, ETA 35 min)
targets_depth3_63: n_ok 0/2000 (nd-only 0, parse-fail 1998) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 14 done, 9s/thm, ETA 34 min)
targets_depth3_64: n_ok 2/2000 (nd-only 0, parse-fail 26) distinct_ok 1 first_hit 614 written_hist {7: 1} lean 0s (6s; 15 done, 9s/thm, ETA 34 min)
targets_depth3_70: n_ok 1/2000 (nd-only 0, parse-fail 1978) distinct_ok 1 first_hit 1652 written_hist {7: 1} lean 0s (6s; 16 done, 8s/thm, ETA 33 min)
targets_depth3_71: n_ok 4/2000 (nd-only 0, parse-fail 1896) distinct_ok 1 first_hit 416 written_hist {7: 1} lean 1s (10s; 17 done, 9s/thm, ETA 33 min)
targets_depth3_73: n_ok 366/2000 (nd-only 0, parse-fail 1173) distinct_ok 1 first_hit 7 written_hist {7: 1} lean 2s (11s; 18 done, 9s/thm, ETA 33 min)
targets_depth3_75: n_ok 41/2000 (nd-only 0, parse-fail 1810) distinct_ok 1 first_hit 5 written_hist {7: 1} lean 1s (11s; 19 done, 9s/thm, ETA 34 min)
targets_depth3_82: n_ok 3/2000 (nd-only 0, parse-fail 1958) distinct_ok 1 first_hit 117 written_hist {7: 1} lean 2s (12s; 20 done, 9s/thm, ETA 34 min)
targets_depth3_84: n_ok 25/2000 (nd-only 0, parse-fail 133) distinct_ok 1 first_hit 166 written_hist {7: 1} lean 2s (10s; 21 done, 9s/thm, ETA 34 min)
targets_depth3_91: n_ok 10/2000 (nd-only 0, parse-fail 1978) distinct_ok 2 first_hit 168 written_hist {7: 2} lean 1s (10s; 22 done, 9s/thm, ETA 34 min)
targets_depth3_93: n_ok 0/2000 (nd-only 0, parse-fail 137) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 23 done, 9s/thm, ETA 34 min)
targets_depth3_95: n_ok 153/2000 (nd-only 0, parse-fail 1182) distinct_ok 1 first_hit 15 written_hist {7: 1} lean 2s (11s; 24 done, 9s/thm, ETA 34 min)
targets_depth3_97: n_ok 0/2000 (nd-only 0, parse-fail 8) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 25 done, 9s/thm, ETA 34 min)
targets_depth3_101: n_ok 10/2000 (nd-only 0, parse-fail 1984) distinct_ok 1 first_hit 607 written_hist {7: 1} lean 0s (6s; 26 done, 9s/thm, ETA 33 min)
targets_depth3_103: n_ok 248/2000 (nd-only 0, parse-fail 1214) distinct_ok 1 first_hit 4 written_hist {7: 1} lean 0s (5s; 27 done, 9s/thm, ETA 32 min)
targets_depth3_111: n_ok 19/2000 (nd-only 0, parse-fail 1976) distinct_ok 1 first_hit 14 written_hist {7: 1} lean 0s (5s; 28 done, 9s/thm, ETA 32 min)
targets_depth3_118: n_ok 60/2000 (nd-only 0, parse-fail 352) distinct_ok 1 first_hit 38 written_hist {7: 1} lean 0s (5s; 29 done, 8s/thm, ETA 31 min)
targets_depth3_119: n_ok 0/2000 (nd-only 0, parse-fail 1999) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 30 done, 8s/thm, ETA 31 min)
targets_depth3_122: n_ok 110/2000 (nd-only 0, parse-fail 283) distinct_ok 1 first_hit 31 written_hist {7: 1} lean 0s (7s; 31 done, 8s/thm, ETA 31 min)
targets_depth3_126: n_ok 3/2000 (nd-only 0, parse-fail 1997) distinct_ok 1 first_hit 347 written_hist {7: 1} lean 0s (7s; 32 done, 8s/thm, ETA 30 min)
targets_depth3_127: n_ok 4/2000 (nd-only 0, parse-fail 1989) distinct_ok 1 first_hit 267 written_hist {7: 1} lean 0s (7s; 33 done, 8s/thm, ETA 30 min)
targets_depth3_133: n_ok 749/2000 (nd-only 0, parse-fail 1216) distinct_ok 4 first_hit 1 written_hist {7: 4} lean 1s (6s; 34 done, 8s/thm, ETA 30 min)
targets_depth3_142: n_ok 1/2000 (nd-only 0, parse-fail 745) distinct_ok 1 first_hit 245 written_hist {7: 1} lean 0s (5s; 35 done, 8s/thm, ETA 29 min)
targets_depth3_143: n_ok 1/2000 (nd-only 0, parse-fail 1402) distinct_ok 1 first_hit 833 written_hist {7: 1} lean 0s (7s; 36 done, 8s/thm, ETA 29 min)
targets_depth3_145: n_ok 12/2000 (nd-only 0, parse-fail 1987) distinct_ok 1 first_hit 94 written_hist {7: 1} lean 0s (7s; 37 done, 8s/thm, ETA 29 min)
targets_depth3_149: n_ok 1/2000 (nd-only 0, parse-fail 1995) distinct_ok 1 first_hit 851 written_hist {7: 1} lean 0s (7s; 38 done, 8s/thm, ETA 28 min)
targets_depth3_150: n_ok 48/2000 (nd-only 0, parse-fail 1912) distinct_ok 2 first_hit 49 written_hist {7: 2} lean 0s (6s; 39 done, 8s/thm, ETA 28 min)
targets_depth3_153: n_ok 99/2000 (nd-only 0, parse-fail 1900) distinct_ok 1 first_hit 12 written_hist {7: 1} lean 0s (4s; 40 done, 8s/thm, ETA 28 min)
targets_depth3_174: n_ok 0/2000 (nd-only 0, parse-fail 1990) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 41 done, 8s/thm, ETA 27 min)
targets_depth3_184: n_ok 0/2000 (nd-only 0, parse-fail 1998) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 42 done, 8s/thm, ETA 27 min)
targets_depth3_188: n_ok 3/2000 (nd-only 0, parse-fail 292) distinct_ok 1 first_hit 333 written_hist {8: 1} lean 0s (4s; 43 done, 8s/thm, ETA 27 min)
targets_depth3_189: n_ok 1/2000 (nd-only 0, parse-fail 1999) distinct_ok 1 first_hit 500 written_hist {8: 1} lean 0s (6s; 44 done, 8s/thm, ETA 26 min)
targets_depth3_191: n_ok 87/2000 (nd-only 0, parse-fail 1910) distinct_ok 1 first_hit 28 written_hist {8: 1} lean 0s (5s; 45 done, 8s/thm, ETA 26 min)
targets_depth3_193: n_ok 0/2000 (nd-only 0, parse-fail 1995) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 46 done, 8s/thm, ETA 26 min)
targets_depth3_194: n_ok 0/2000 (nd-only 0, parse-fail 1972) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 47 done, 8s/thm, ETA 25 min)
targets_depth3_195: n_ok 106/2000 (nd-only 0, parse-fail 1889) distinct_ok 2 first_hit 2 written_hist {8: 2} lean 0s (5s; 48 done, 7s/thm, ETA 25 min)
targets_depth3_199: n_ok 0/2000 (nd-only 0, parse-fail 319) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 49 done, 7s/thm, ETA 25 min)
targets_depth3_204: n_ok 0/2000 (nd-only 0, parse-fail 1972) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 50 done, 7s/thm, ETA 25 min)
targets_depth3_208: n_ok 16/2000 (nd-only 0, parse-fail 1983) distinct_ok 1 first_hit 27 written_hist {8: 1} lean 0s (6s; 51 done, 7s/thm, ETA 24 min)
targets_depth3_209: n_ok 0/2000 (nd-only 0, parse-fail 1924) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 52 done, 7s/thm, ETA 24 min)
targets_depth3_215: n_ok 0/2000 (nd-only 0, parse-fail 1994) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 53 done, 7s/thm, ETA 24 min)
targets_depth3_220: n_ok 3/2000 (nd-only 0, parse-fail 1525) distinct_ok 1 first_hit 1211 written_hist {8: 1} lean 0s (4s; 54 done, 7s/thm, ETA 24 min)
targets_depth3_223: n_ok 0/2000 (nd-only 0, parse-fail 1977) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 55 done, 7s/thm, ETA 24 min)
