START 2026-09-23T22:15:00Z until [ -f ckpts/dsc/stage1_a2_s0.pt ]; do sleep 30; done; python3 coverage_lean.py --ckpt ckpts/dsc/stage1_a2_s0.pt --in data/p2/targets_reductio_req.jsonl --k 2000 --temperature 0.8 --seed 0 --batch 1024 --procs 2 --out artifacts/dsc/cov_a2_s0_redreq
shard 0/1: 300 theorems, 0 already done; k=2000 T=0.8 batch=1024
targets_reductio_req_0: n_ok 0/2000 (nd-only 0, parse-fail 1313) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 1 done, 4s/thm, ETA 21 min)
targets_reductio_req_1: n_ok 0/2000 (nd-only 0, parse-fail 174) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 2 done, 5s/thm, ETA 23 min)
targets_reductio_req_2: n_ok 2/2000 (nd-only 0, parse-fail 177) distinct_ok 1 first_hit 698 written_hist {7: 1} lean 0s (6s; 3 done, 5s/thm, ETA 25 min)
targets_reductio_req_3: n_ok 0/2000 (nd-only 0, parse-fail 341) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 4 done, 5s/thm, ETA 26 min)
targets_reductio_req_4: n_ok 0/2000 (nd-only 0, parse-fail 1881) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 5 done, 5s/thm, ETA 27 min)
targets_reductio_req_5: n_ok 0/2000 (nd-only 0, parse-fail 20) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 6 done, 6s/thm, ETA 28 min)
targets_reductio_req_6: n_ok 0/2000 (nd-only 0, parse-fail 1367) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 7 done, 6s/thm, ETA 27 min)
targets_reductio_req_7: n_ok 0/2000 (nd-only 0, parse-fail 19) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 8 done, 6s/thm, ETA 27 min)
targets_reductio_req_8: n_ok 0/2000 (nd-only 0, parse-fail 16) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 9 done, 6s/thm, ETA 28 min)
targets_reductio_req_9: n_ok 0/2000 (nd-only 0, parse-fail 130) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 10 done, 6s/thm, ETA 28 min)
targets_reductio_req_10: n_ok 0/2000 (nd-only 0, parse-fail 224) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 11 done, 6s/thm, ETA 28 min)
targets_reductio_req_11: n_ok 0/2000 (nd-only 0, parse-fail 32) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 12 done, 6s/thm, ETA 28 min)
targets_reductio_req_12: n_ok 0/2000 (nd-only 0, parse-fail 1043) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 13 done, 6s/thm, ETA 28 min)
targets_reductio_req_13: n_ok 0/2000 (nd-only 0, parse-fail 314) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 14 done, 6s/thm, ETA 28 min)
targets_reductio_req_14: n_ok 0/2000 (nd-only 0, parse-fail 38) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 15 done, 6s/thm, ETA 28 min)
targets_reductio_req_15: n_ok 0/2000 (nd-only 0, parse-fail 4) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 16 done, 6s/thm, ETA 28 min)
targets_reductio_req_16: n_ok 0/2000 (nd-only 0, parse-fail 26) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 17 done, 6s/thm, ETA 28 min)
targets_reductio_req_17: n_ok 0/2000 (nd-only 0, parse-fail 248) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 18 done, 6s/thm, ETA 28 min)
targets_reductio_req_18: n_ok 0/2000 (nd-only 0, parse-fail 25) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 19 done, 6s/thm, ETA 29 min)
targets_reductio_req_19: n_ok 0/2000 (nd-only 0, parse-fail 238) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 20 done, 6s/thm, ETA 29 min)
targets_reductio_req_20: n_ok 0/2000 (nd-only 0, parse-fail 92) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 21 done, 6s/thm, ETA 29 min)
targets_reductio_req_21: n_ok 0/2000 (nd-only 0, parse-fail 712) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 22 done, 6s/thm, ETA 29 min)
targets_reductio_req_22: n_ok 0/2000 (nd-only 0, parse-fail 1972) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 23 done, 6s/thm, ETA 29 min)
targets_reductio_req_23: n_ok 0/2000 (nd-only 0, parse-fail 778) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 24 done, 6s/thm, ETA 28 min)
targets_reductio_req_24: n_ok 0/2000 (nd-only 0, parse-fail 466) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 25 done, 6s/thm, ETA 28 min)
targets_reductio_req_25: n_ok 0/2000 (nd-only 0, parse-fail 41) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 26 done, 6s/thm, ETA 28 min)
targets_reductio_req_26: n_ok 0/2000 (nd-only 0, parse-fail 30) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 27 done, 6s/thm, ETA 29 min)
targets_reductio_req_27: n_ok 0/2000 (nd-only 0, parse-fail 23) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 28 done, 6s/thm, ETA 29 min)
targets_reductio_req_28: n_ok 0/2000 (nd-only 0, parse-fail 1395) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 29 done, 6s/thm, ETA 29 min)
targets_reductio_req_29: n_ok 0/2000 (nd-only 0, parse-fail 22) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 30 done, 6s/thm, ETA 29 min)
targets_reductio_req_30: n_ok 0/2000 (nd-only 0, parse-fail 1507) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 31 done, 6s/thm, ETA 29 min)
