START 2026-09-24T00:41:32Z until [ -f ckpts/dsc/stage1_a1_s1.pt ]; do sleep 30; done; python3 coverage_lean.py --ckpt ckpts/dsc/stage1_a1_s1.pt --in data/dsc/targets_depth3_sub250.jsonl --k 2000 --temperature 0.8 --seed 0 --batch 1024 --procs 2 --out artifacts/dsc/cov_a1_s1_d3sub
shard 0/1: 250 theorems, 0 already done; k=2000 T=0.8 batch=1024
targets_depth3_1: n_ok 31/2000 (nd-only 0, parse-fail 91) distinct_ok 1 first_hit 67 written_hist {7: 1} lean 0s (10s; 1 done, 10s/thm, ETA 43 min)
targets_depth3_14: n_ok 1057/2000 (nd-only 0, parse-fail 60) distinct_ok 2 first_hit 2 written_hist {7: 1, 8: 1} lean 0s (7s; 2 done, 9s/thm, ETA 37 min)
targets_depth3_16: n_ok 211/2000 (nd-only 0, parse-fail 834) distinct_ok 1 first_hit 8 written_hist {7: 1} lean 0s (9s; 3 done, 9s/thm, ETA 37 min)
targets_depth3_22: n_ok 769/2000 (nd-only 0, parse-fail 1144) distinct_ok 3 first_hit 2 written_hist {7: 1, 8: 2} lean 1s (10s; 4 done, 9s/thm, ETA 37 min)
targets_depth3_23: n_ok 628/2000 (nd-only 0, parse-fail 321) distinct_ok 1 first_hit 7 written_hist {7: 1} lean 0s (9s; 5 done, 9s/thm, ETA 37 min)
targets_depth3_27: n_ok 306/2000 (nd-only 0, parse-fail 1608) distinct_ok 1 first_hit 1 written_hist {7: 1} lean 0s (9s; 6 done, 9s/thm, ETA 36 min)
targets_depth3_33: n_ok 1670/2000 (nd-only 0, parse-fail 257) distinct_ok 4 first_hit 1 written_hist {7: 4} lean 1s (7s; 7 done, 9s/thm, ETA 35 min)
targets_depth3_37: n_ok 4/2000 (nd-only 0, parse-fail 6) distinct_ok 1 first_hit 26 written_hist {7: 1} lean 0s (6s; 8 done, 8s/thm, ETA 34 min)
targets_depth3_39: n_ok 66/2000 (nd-only 0, parse-fail 57) distinct_ok 1 first_hit 60 written_hist {7: 1} lean 0s (7s; 9 done, 8s/thm, ETA 33 min)
targets_depth3_40: n_ok 910/2000 (nd-only 0, parse-fail 1080) distinct_ok 1 first_hit 3 written_hist {7: 1} lean 0s (9s; 10 done, 8s/thm, ETA 33 min)
targets_depth3_41: n_ok 84/2000 (nd-only 0, parse-fail 1544) distinct_ok 1 first_hit 51 written_hist {7: 1} lean 0s (11s; 11 done, 9s/thm, ETA 34 min)
targets_depth3_46: n_ok 492/2000 (nd-only 0, parse-fail 1488) distinct_ok 1 first_hit 16 written_hist {7: 1} lean 0s (8s; 12 done, 8s/thm, ETA 34 min)
targets_depth3_62: n_ok 22/2000 (nd-only 0, parse-fail 381) distinct_ok 1 first_hit 278 written_hist {7: 1} lean 0s (8s; 13 done, 8s/thm, ETA 33 min)
targets_depth3_63: n_ok 868/2000 (nd-only 0, parse-fail 1072) distinct_ok 1 first_hit 1 written_hist {7: 1} lean 0s (9s; 14 done, 9s/thm, ETA 33 min)
targets_depth3_64: n_ok 19/2000 (nd-only 0, parse-fail 186) distinct_ok 1 first_hit 147 written_hist {7: 1} lean 0s (9s; 15 done, 9s/thm, ETA 34 min)
targets_depth3_70: n_ok 166/2000 (nd-only 0, parse-fail 1312) distinct_ok 1 first_hit 5 written_hist {7: 1} lean 0s (8s; 16 done, 9s/thm, ETA 33 min)
targets_depth3_71: n_ok 1584/2000 (nd-only 0, parse-fail 408) distinct_ok 2 first_hit 1 written_hist {7: 1, 8: 1} lean 1s (10s; 17 done, 9s/thm, ETA 33 min)
targets_depth3_73: n_ok 706/2000 (nd-only 0, parse-fail 120) distinct_ok 2 first_hit 1 written_hist {7: 1, 8: 1} lean 0s (7s; 18 done, 9s/thm, ETA 33 min)
targets_depth3_75: n_ok 72/2000 (nd-only 0, parse-fail 800) distinct_ok 1 first_hit 25 written_hist {7: 1} lean 0s (8s; 19 done, 9s/thm, ETA 33 min)
targets_depth3_82: n_ok 1240/2000 (nd-only 0, parse-fail 742) distinct_ok 1 first_hit 3 written_hist {7: 1} lean 0s (10s; 20 done, 9s/thm, ETA 33 min)
targets_depth3_84: n_ok 59/2000 (nd-only 0, parse-fail 686) distinct_ok 2 first_hit 11 written_hist {7: 1, 8: 1} lean 0s (9s; 21 done, 9s/thm, ETA 33 min)
targets_depth3_91: n_ok 1190/2000 (nd-only 0, parse-fail 794) distinct_ok 6 first_hit 1 written_hist {7: 2, 8: 4} lean 1s (8s; 22 done, 9s/thm, ETA 33 min)
targets_depth3_93: n_ok 50/2000 (nd-only 0, parse-fail 11) distinct_ok 1 first_hit 139 written_hist {7: 1} lean 0s (8s; 23 done, 9s/thm, ETA 32 min)
targets_depth3_95: n_ok 495/2000 (nd-only 0, parse-fail 184) distinct_ok 1 first_hit 1 written_hist {7: 1} lean 0s (8s; 24 done, 9s/thm, ETA 32 min)
targets_depth3_97: n_ok 0/2000 (nd-only 0, parse-fail 3) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 25 done, 8s/thm, ETA 32 min)
targets_depth3_101: n_ok 94/2000 (nd-only 0, parse-fail 1893) distinct_ok 1 first_hit 8 written_hist {7: 1} lean 8s (22s; 26 done, 9s/thm, ETA 34 min)
targets_depth3_103: n_ok 912/2000 (nd-only 0, parse-fail 630) distinct_ok 2 first_hit 1 written_hist {7: 1, 8: 1} lean 8s (31s; 27 done, 10s/thm, ETA 36 min)
targets_depth3_111: n_ok 259/2000 (nd-only 0, parse-fail 219) distinct_ok 1 first_hit 8 written_hist {7: 1} lean 10s (38s; 28 done, 11s/thm, ETA 40 min)
targets_depth3_118: n_ok 6/2000 (nd-only 0, parse-fail 9) distinct_ok 1 first_hit 76 written_hist {7: 1} lean 5s (22s; 29 done, 11s/thm, ETA 41 min)
targets_depth3_119: n_ok 17/2000 (nd-only 0, parse-fail 1959) distinct_ok 2 first_hit 51 written_hist {7: 2} lean 6s (74s; 30 done, 13s/thm, ETA 49 min)
targets_depth3_122: n_ok 10/2000 (nd-only 0, parse-fail 114) distinct_ok 1 first_hit 2 written_hist {7: 1} lean 6s (22s; 31 done, 14s/thm, ETA 49 min)
targets_depth3_126: n_ok 426/2000 (nd-only 0, parse-fail 1573) distinct_ok 1 first_hit 3 written_hist {7: 1} lean 7s (33s; 32 done, 14s/thm, ETA 52 min)
targets_depth3_127: n_ok 874/2000 (nd-only 0, parse-fail 968) distinct_ok 1 first_hit 2 written_hist {7: 1} lean 6s (32s; 33 done, 15s/thm, ETA 53 min)
targets_depth3_133: n_ok 872/2000 (nd-only 0, parse-fail 624) distinct_ok 4 first_hit 1 written_hist {7: 4} lean 7s (26s; 34 done, 15s/thm, ETA 54 min)
targets_depth3_142: n_ok 413/2000 (nd-only 0, parse-fail 1530) distinct_ok 1 first_hit 1 written_hist {7: 1} lean 6s (32s; 35 done, 16s/thm, ETA 56 min)
targets_depth3_143: n_ok 1146/2000 (nd-only 0, parse-fail 717) distinct_ok 1 first_hit 2 written_hist {7: 1} lean 6s (33s; 36 done, 16s/thm, ETA 57 min)
targets_depth3_145: n_ok 55/2000 (nd-only 0, parse-fail 561) distinct_ok 1 first_hit 35 written_hist {7: 1} lean 5s (28s; 37 done, 16s/thm, ETA 58 min)
targets_depth3_149: n_ok 719/2000 (nd-only 0, parse-fail 1269) distinct_ok 3 first_hit 10 written_hist {7: 1, 8: 2} lean 0s (15s; 38 done, 16s/thm, ETA 58 min)
targets_depth3_150: n_ok 1129/2000 (nd-only 0, parse-fail 744) distinct_ok 6 first_hit 1 written_hist {7: 2, 8: 4} lean 1s (6s; 39 done, 16s/thm, ETA 56 min)
targets_depth3_153: n_ok 911/2000 (nd-only 0, parse-fail 635) distinct_ok 4 first_hit 1 written_hist {7: 1, 8: 3} lean 1s (7s; 40 done, 16s/thm, ETA 55 min)
targets_depth3_174: n_ok 1/2000 (nd-only 0, parse-fail 390) distinct_ok 1 first_hit 840 written_hist {8: 1} lean 0s (8s; 41 done, 16s/thm, ETA 54 min)
targets_depth3_184: n_ok 7/2000 (nd-only 0, parse-fail 1008) distinct_ok 1 first_hit 194 written_hist {8: 1} lean 0s (10s; 42 done, 16s/thm, ETA 54 min)
targets_depth3_188: n_ok 0/2000 (nd-only 0, parse-fail 13) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 43 done, 15s/thm, ETA 53 min)
targets_depth3_189: n_ok 53/2000 (nd-only 0, parse-fail 542) distinct_ok 1 first_hit 17 written_hist {8: 1} lean 0s (7s; 44 done, 15s/thm, ETA 52 min)
targets_depth3_191: n_ok 1760/2000 (nd-only 0, parse-fail 227) distinct_ok 1 first_hit 1 written_hist {8: 1} lean 0s (12s; 45 done, 15s/thm, ETA 51 min)
