START 2026-09-23T22:58:09Z until [ -f ckpts/dsc/stage1_a2_s1.pt ]; do sleep 30; done; python3 coverage_lean.py --ckpt ckpts/dsc/stage1_a2_s1.pt --in data/p2/targets_reductio_req.jsonl --k 2000 --temperature 0.8 --seed 0 --batch 1024 --procs 2 --out artifacts/dsc/cov_a2_s1_redreq
shard 0/1: 300 theorems, 0 already done; k=2000 T=0.8 batch=1024
targets_reductio_req_0: n_ok 0/2000 (nd-only 0, parse-fail 486) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 1 done, 8s/thm, ETA 38 min)
targets_reductio_req_1: n_ok 0/2000 (nd-only 0, parse-fail 95) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 2 done, 7s/thm, ETA 37 min)
targets_reductio_req_2: n_ok 0/2000 (nd-only 0, parse-fail 19) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 3 done, 7s/thm, ETA 36 min)
targets_reductio_req_3: n_ok 0/2000 (nd-only 0, parse-fail 136) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 4 done, 7s/thm, ETA 36 min)
targets_reductio_req_4: n_ok 0/2000 (nd-only 0, parse-fail 1273) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 5 done, 7s/thm, ETA 36 min)
targets_reductio_req_5: n_ok 0/2000 (nd-only 0, parse-fail 66) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 6 done, 7s/thm, ETA 36 min)
targets_reductio_req_6: n_ok 0/2000 (nd-only 0, parse-fail 1519) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 7 done, 7s/thm, ETA 35 min)
targets_reductio_req_7: n_ok 0/2000 (nd-only 0, parse-fail 433) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 8 done, 7s/thm, ETA 35 min)
targets_reductio_req_8: n_ok 0/2000 (nd-only 0, parse-fail 9) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 9 done, 7s/thm, ETA 36 min)
targets_reductio_req_9: n_ok 0/2000 (nd-only 0, parse-fail 5) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 10 done, 7s/thm, ETA 35 min)
targets_reductio_req_10: n_ok 0/2000 (nd-only 0, parse-fail 16) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 11 done, 7s/thm, ETA 35 min)
targets_reductio_req_11: n_ok 0/2000 (nd-only 0, parse-fail 38) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 12 done, 7s/thm, ETA 35 min)
targets_reductio_req_12: n_ok 0/2000 (nd-only 0, parse-fail 253) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 13 done, 7s/thm, ETA 35 min)
targets_reductio_req_13: n_ok 0/2000 (nd-only 0, parse-fail 44) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 14 done, 7s/thm, ETA 35 min)
targets_reductio_req_14: n_ok 0/2000 (nd-only 0, parse-fail 15) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 15 done, 7s/thm, ETA 35 min)
targets_reductio_req_15: n_ok 0/2000 (nd-only 0, parse-fail 3) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 16 done, 7s/thm, ETA 35 min)
targets_reductio_req_16: n_ok 0/2000 (nd-only 0, parse-fail 593) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 17 done, 7s/thm, ETA 35 min)
targets_reductio_req_17: n_ok 0/2000 (nd-only 0, parse-fail 99) distinct_ok 0 first_hit None written_hist {} lean 0s (13s; 18 done, 8s/thm, ETA 36 min)
targets_reductio_req_18: n_ok 0/2000 (nd-only 0, parse-fail 3) distinct_ok 0 first_hit None written_hist {} lean 0s (11s; 19 done, 8s/thm, ETA 37 min)
targets_reductio_req_19: n_ok 0/2000 (nd-only 0, parse-fail 296) distinct_ok 0 first_hit None written_hist {} lean 0s (14s; 20 done, 8s/thm, ETA 38 min)
targets_reductio_req_20: n_ok 0/2000 (nd-only 0, parse-fail 45) distinct_ok 0 first_hit None written_hist {} lean 0s (12s; 21 done, 8s/thm, ETA 39 min)
targets_reductio_req_21: n_ok 0/2000 (nd-only 0, parse-fail 1550) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 22 done, 8s/thm, ETA 38 min)
targets_reductio_req_22: n_ok 0/2000 (nd-only 0, parse-fail 1482) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 23 done, 8s/thm, ETA 38 min)
targets_reductio_req_23: n_ok 0/2000 (nd-only 0, parse-fail 392) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 24 done, 8s/thm, ETA 38 min)
targets_reductio_req_24: n_ok 0/2000 (nd-only 0, parse-fail 64) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 25 done, 8s/thm, ETA 37 min)
targets_reductio_req_25: n_ok 0/2000 (nd-only 0, parse-fail 118) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 26 done, 8s/thm, ETA 37 min)
