START 2026-09-23T23:27:21Z until [ -f ckpts/dsc/stage1_a2_s1.pt ]; do sleep 30; done; python3 coverage_lean.py --ckpt ckpts/dsc/stage1_a2_s1.pt --in data/r3_1/depth3_req.jsonl --k 2000 --temperature 0.8 --seed 0 --batch 1024 --procs 2 --out artifacts/dsc/cov_a2_s1_d3req
shard 0/1: 300 theorems, 0 already done; k=2000 T=0.8 batch=1024
d3req_0: n_ok 0/2000 (nd-only 0, parse-fail 31) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 1 done, 5s/thm, ETA 25 min)
d3req_1: n_ok 1/2000 (nd-only 0, parse-fail 1986) distinct_ok 1 first_hit 983 written_hist {8: 1} lean 0s (7s; 2 done, 6s/thm, ETA 30 min)
d3req_2: n_ok 2/2000 (nd-only 0, parse-fail 16) distinct_ok 1 first_hit 289 written_hist {8: 1} lean 0s (7s; 3 done, 6s/thm, ETA 32 min)
d3req_3: n_ok 4/2000 (nd-only 0, parse-fail 1547) distinct_ok 1 first_hit 119 written_hist {8: 1} lean 0s (9s; 4 done, 7s/thm, ETA 35 min)
d3req_4: n_ok 3/2000 (nd-only 0, parse-fail 470) distinct_ok 2 first_hit 415 written_hist {8: 2} lean 0s (7s; 5 done, 7s/thm, ETA 35 min)
d3req_5: n_ok 572/2000 (nd-only 0, parse-fail 145) distinct_ok 1 first_hit 8 written_hist {8: 1} lean 0s (8s; 6 done, 7s/thm, ETA 35 min)
d3req_6: n_ok 225/2000 (nd-only 0, parse-fail 29) distinct_ok 1 first_hit 4 written_hist {8: 1} lean 0s (7s; 7 done, 7s/thm, ETA 35 min)
d3req_7: n_ok 1/2000 (nd-only 0, parse-fail 1947) distinct_ok 1 first_hit 1096 written_hist {8: 1} lean 0s (8s; 8 done, 7s/thm, ETA 36 min)
d3req_8: n_ok 61/2000 (nd-only 0, parse-fail 1002) distinct_ok 1 first_hit 42 written_hist {8: 1} lean 0s (9s; 9 done, 7s/thm, ETA 36 min)
d3req_9: n_ok 0/2000 (nd-only 0, parse-fail 179) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 10 done, 7s/thm, ETA 36 min)
d3req_10: n_ok 0/2000 (nd-only 0, parse-fail 1969) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 11 done, 8s/thm, ETA 36 min)
d3req_11: n_ok 21/2000 (nd-only 0, parse-fail 1748) distinct_ok 2 first_hit 50 written_hist {8: 2} lean 0s (10s; 12 done, 8s/thm, ETA 37 min)
d3req_12: n_ok 307/2000 (nd-only 0, parse-fail 1033) distinct_ok 1 first_hit 20 written_hist {8: 1} lean 0s (9s; 13 done, 8s/thm, ETA 38 min)
d3req_13: n_ok 0/2000 (nd-only 0, parse-fail 1021) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 14 done, 8s/thm, ETA 38 min)
d3req_14: n_ok 144/2000 (nd-only 0, parse-fail 58) distinct_ok 2 first_hit 30 written_hist {8: 1, 9: 1} lean 0s (10s; 15 done, 8s/thm, ETA 38 min)
d3req_15: n_ok 0/2000 (nd-only 0, parse-fail 1942) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 16 done, 8s/thm, ETA 38 min)
d3req_16: n_ok 0/2000 (nd-only 0, parse-fail 81) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 17 done, 8s/thm, ETA 38 min)
d3req_17: n_ok 6/2000 (nd-only 0, parse-fail 93) distinct_ok 4 first_hit 7 written_hist {8: 1, 9: 3} lean 2s (20s; 18 done, 9s/thm, ETA 41 min)
d3req_18: n_ok 0/2000 (nd-only 0, parse-fail 1882) distinct_ok 0 first_hit None written_hist {} lean 0s (16s; 19 done, 9s/thm, ETA 43 min)
d3req_19: n_ok 376/2000 (nd-only 0, parse-fail 1603) distinct_ok 1 first_hit 2 written_hist {8: 1} lean 1s (17s; 20 done, 9s/thm, ETA 44 min)
d3req_20: n_ok 0/2000 (nd-only 0, parse-fail 910) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 21 done, 9s/thm, ETA 44 min)
d3req_21: n_ok 0/2000 (nd-only 0, parse-fail 79) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 22 done, 9s/thm, ETA 43 min)
d3req_22: n_ok 19/2000 (nd-only 0, parse-fail 1816) distinct_ok 1 first_hit 60 written_hist {8: 1} lean 0s (11s; 23 done, 9s/thm, ETA 43 min)
d3req_23: n_ok 0/2000 (nd-only 0, parse-fail 527) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 24 done, 9s/thm, ETA 43 min)
d3req_24: n_ok 0/2000 (nd-only 0, parse-fail 7) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 25 done, 9s/thm, ETA 42 min)
d3req_25: n_ok 47/2000 (nd-only 0, parse-fail 1372) distinct_ok 2 first_hit 71 written_hist {8: 2} lean 1s (8s; 26 done, 9s/thm, ETA 42 min)
d3req_26: n_ok 0/2000 (nd-only 0, parse-fail 156) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 27 done, 9s/thm, ETA 41 min)
d3req_27: n_ok 0/2000 (nd-only 0, parse-fail 1862) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 28 done, 9s/thm, ETA 41 min)
d3req_28: n_ok 14/2000 (nd-only 0, parse-fail 404) distinct_ok 8 first_hit 29 written_hist {8: 7, 9: 1} lean 0s (11s; 29 done, 9s/thm, ETA 42 min)
d3req_29: n_ok 34/2000 (nd-only 0, parse-fail 1828) distinct_ok 2 first_hit 77 written_hist {8: 2} lean 0s (12s; 30 done, 9s/thm, ETA 42 min)
d3req_30: n_ok 76/2000 (nd-only 0, parse-fail 1882) distinct_ok 1 first_hit 6 written_hist {8: 1} lean 0s (18s; 31 done, 10s/thm, ETA 43 min)
d3req_31: n_ok 0/2000 (nd-only 0, parse-fail 235) distinct_ok 0 first_hit None written_hist {} lean 0s (15s; 32 done, 10s/thm, ETA 44 min)
d3req_32: n_ok 0/2000 (nd-only 0, parse-fail 79) distinct_ok 0 first_hit None written_hist {} lean 0s (14s; 33 done, 10s/thm, ETA 44 min)
d3req_33: n_ok 1/2000 (nd-only 0, parse-fail 1712) distinct_ok 1 first_hit 181 written_hist {8: 1} lean 0s (9s; 34 done, 10s/thm, ETA 44 min)
d3req_34: n_ok 1617/2000 (nd-only 0, parse-fail 353) distinct_ok 3 first_hit 2 written_hist {8: 2, 9: 1} lean 0s (7s; 35 done, 10s/thm, ETA 43 min)
d3req_35: n_ok 0/2000 (nd-only 0, parse-fail 29) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 36 done, 10s/thm, ETA 43 min)
d3req_36: n_ok 113/2000 (nd-only 0, parse-fail 781) distinct_ok 1 first_hit 8 written_hist {8: 1} lean 0s (9s; 37 done, 10s/thm, ETA 42 min)
d3req_37: n_ok 848/2000 (nd-only 0, parse-fail 1138) distinct_ok 1 first_hit 2 written_hist {8: 1} lean 0s (10s; 38 done, 10s/thm, ETA 42 min)
d3req_38: n_ok 484/2000 (nd-only 0, parse-fail 515) distinct_ok 1 first_hit 6 written_hist {8: 1} lean 0s (8s; 39 done, 10s/thm, ETA 42 min)
d3req_39: n_ok 139/2000 (nd-only 0, parse-fail 564) distinct_ok 2 first_hit 31 written_hist {8: 2} lean 0s (6s; 40 done, 10s/thm, ETA 41 min)
d3req_40: n_ok 0/2000 (nd-only 0, parse-fail 1878) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 41 done, 9s/thm, ETA 41 min)
d3req_41: n_ok 41/2000 (nd-only 0, parse-fail 720) distinct_ok 1 first_hit 33 written_hist {7: 1} lean 0s (7s; 42 done, 9s/thm, ETA 41 min)
d3req_42: n_ok 339/2000 (nd-only 0, parse-fail 1234) distinct_ok 1 first_hit 1 written_hist {8: 1} lean 0s (8s; 43 done, 9s/thm, ETA 40 min)
d3req_43: n_ok 81/2000 (nd-only 0, parse-fail 467) distinct_ok 1 first_hit 4 written_hist {8: 1} lean 0s (8s; 44 done, 9s/thm, ETA 40 min)
d3req_44: n_ok 2/2000 (nd-only 0, parse-fail 354) distinct_ok 1 first_hit 483 written_hist {8: 1} lean 0s (7s; 45 done, 9s/thm, ETA 40 min)
d3req_45: n_ok 13/2000 (nd-only 0, parse-fail 1552) distinct_ok 1 first_hit 2 written_hist {8: 1} lean 0s (9s; 46 done, 9s/thm, ETA 39 min)
d3req_46: n_ok 23/2000 (nd-only 0, parse-fail 975) distinct_ok 3 first_hit 55 written_hist {8: 3} lean 0s (8s; 47 done, 9s/thm, ETA 39 min)
d3req_47: n_ok 51/2000 (nd-only 0, parse-fail 1943) distinct_ok 1 first_hit 135 written_hist {8: 1} lean 0s (9s; 48 done, 9s/thm, ETA 39 min)
d3req_48: n_ok 42/2000 (nd-only 0, parse-fail 1258) distinct_ok 2 first_hit 45 written_hist {8: 2} lean 0s (6s; 49 done, 9s/thm, ETA 38 min)
d3req_49: n_ok 557/2000 (nd-only 0, parse-fail 1326) distinct_ok 1 first_hit 10 written_hist {8: 1} lean 0s (8s; 50 done, 9s/thm, ETA 38 min)
d3req_50: n_ok 95/2000 (nd-only 0, parse-fail 1785) distinct_ok 1 first_hit 15 written_hist {8: 1} lean 0s (7s; 51 done, 9s/thm, ETA 38 min)
d3req_51: n_ok 79/2000 (nd-only 0, parse-fail 1905) distinct_ok 1 first_hit 39 written_hist {8: 1} lean 0s (9s; 52 done, 9s/thm, ETA 38 min)
d3req_52: n_ok 0/2000 (nd-only 0, parse-fail 1732) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 53 done, 9s/thm, ETA 37 min)
d3req_53: n_ok 47/2000 (nd-only 0, parse-fail 908) distinct_ok 2 first_hit 7 written_hist {8: 2} lean 0s (9s; 54 done, 9s/thm, ETA 37 min)
d3req_54: n_ok 0/2000 (nd-only 0, parse-fail 40) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 55 done, 9s/thm, ETA 37 min)
d3req_55: n_ok 35/2000 (nd-only 0, parse-fail 1271) distinct_ok 1 first_hit 9 written_hist {8: 1} lean 0s (9s; 56 done, 9s/thm, ETA 37 min)
d3req_56: n_ok 532/2000 (nd-only 0, parse-fail 1264) distinct_ok 1 first_hit 1 written_hist {8: 1} lean 0s (7s; 57 done, 9s/thm, ETA 36 min)
d3req_57: n_ok 85/2000 (nd-only 0, parse-fail 143) distinct_ok 2 first_hit 25 written_hist {8: 2} lean 0s (8s; 58 done, 9s/thm, ETA 36 min)
d3req_58: n_ok 0/2000 (nd-only 0, parse-fail 1975) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 59 done, 9s/thm, ETA 36 min)
d3req_59: n_ok 0/2000 (nd-only 0, parse-fail 431) distinct_ok 0 first_hit None written_hist {} lean 0s (11s; 60 done, 9s/thm, ETA 36 min)
d3req_60: n_ok 1157/2000 (nd-only 0, parse-fail 103) distinct_ok 2 first_hit 1 written_hist {8: 2} lean 1s (11s; 61 done, 9s/thm, ETA 36 min)
d3req_61: n_ok 39/2000 (nd-only 0, parse-fail 734) distinct_ok 2 first_hit 161 written_hist {8: 2} lean 0s (14s; 62 done, 9s/thm, ETA 36 min)
d3req_62: n_ok 405/2000 (nd-only 0, parse-fail 1043) distinct_ok 1 first_hit 1 written_hist {8: 1} lean 0s (8s; 63 done, 9s/thm, ETA 36 min)
d3req_63: n_ok 48/2000 (nd-only 0, parse-fail 1873) distinct_ok 1 first_hit 34 written_hist {8: 1} lean 0s (10s; 64 done, 9s/thm, ETA 36 min)
d3req_64: n_ok 76/2000 (nd-only 0, parse-fail 1683) distinct_ok 4 first_hit 52 written_hist {8: 4} lean 0s (7s; 65 done, 9s/thm, ETA 36 min)
d3req_65: n_ok 31/2000 (nd-only 0, parse-fail 578) distinct_ok 2 first_hit 221 written_hist {8: 2} lean 0s (8s; 66 done, 9s/thm, ETA 35 min)
d3req_66: n_ok 1/2000 (nd-only 0, parse-fail 243) distinct_ok 1 first_hit 581 written_hist {8: 1} lean 0s (7s; 67 done, 9s/thm, ETA 35 min)
d3req_67: n_ok 0/2000 (nd-only 0, parse-fail 202) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 68 done, 9s/thm, ETA 35 min)
d3req_68: n_ok 4/2000 (nd-only 0, parse-fail 971) distinct_ok 2 first_hit 63 written_hist {8: 2} lean 0s (7s; 69 done, 9s/thm, ETA 35 min)
d3req_69: n_ok 0/2000 (nd-only 0, parse-fail 115) distinct_ok 0 first_hit None written_hist {} lean 0s (11s; 70 done, 9s/thm, ETA 35 min)
d3req_70: n_ok 13/2000 (nd-only 0, parse-fail 544) distinct_ok 2 first_hit 145 written_hist {8: 2} lean 0s (9s; 71 done, 9s/thm, ETA 35 min)
d3req_71: n_ok 227/2000 (nd-only 0, parse-fail 1448) distinct_ok 1 first_hit 3 written_hist {8: 1} lean 0s (9s; 72 done, 9s/thm, ETA 34 min)
d3req_72: n_ok 125/2000 (nd-only 0, parse-fail 1794) distinct_ok 1 first_hit 45 written_hist {8: 1} lean 0s (9s; 73 done, 9s/thm, ETA 34 min)
d3req_73: n_ok 666/2000 (nd-only 0, parse-fail 551) distinct_ok 1 first_hit 1 written_hist {8: 1} lean 0s (10s; 74 done, 9s/thm, ETA 34 min)
d3req_74: n_ok 1/2000 (nd-only 0, parse-fail 760) distinct_ok 1 first_hit 673 written_hist {8: 1} lean 0s (8s; 75 done, 9s/thm, ETA 34 min)
d3req_75: n_ok 17/2000 (nd-only 0, parse-fail 1219) distinct_ok 5 first_hit 24 written_hist {8: 5} lean 0s (8s; 76 done, 9s/thm, ETA 34 min)
d3req_76: n_ok 1/2000 (nd-only 0, parse-fail 1977) distinct_ok 1 first_hit 1359 written_hist {8: 1} lean 0s (10s; 77 done, 9s/thm, ETA 34 min)
d3req_77: n_ok 1338/2000 (nd-only 0, parse-fail 621) distinct_ok 2 first_hit 1 written_hist {8: 1, 9: 1} lean 0s (10s; 78 done, 9s/thm, ETA 34 min)
d3req_78: n_ok 0/2000 (nd-only 0, parse-fail 14) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 79 done, 9s/thm, ETA 33 min)
d3req_79: n_ok 38/2000 (nd-only 0, parse-fail 1957) distinct_ok 1 first_hit 41 written_hist {8: 1} lean 0s (8s; 80 done, 9s/thm, ETA 33 min)
d3req_80: n_ok 0/2000 (nd-only 0, parse-fail 976) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 81 done, 9s/thm, ETA 33 min)
d3req_81: n_ok 1/2000 (nd-only 0, parse-fail 1992) distinct_ok 1 first_hit 59 written_hist {8: 1} lean 1s (12s; 82 done, 9s/thm, ETA 33 min)
d3req_82: n_ok 0/2000 (nd-only 0, parse-fail 1418) distinct_ok 0 first_hit None written_hist {} lean 0s (11s; 83 done, 9s/thm, ETA 33 min)
d3req_83: n_ok 1/2000 (nd-only 0, parse-fail 40) distinct_ok 1 first_hit 1557 written_hist {8: 1} lean 1s (11s; 84 done, 9s/thm, ETA 33 min)
d3req_84: n_ok 454/2000 (nd-only 0, parse-fail 1009) distinct_ok 2 first_hit 5 written_hist {8: 2} lean 2s (11s; 85 done, 9s/thm, ETA 33 min)
d3req_85: n_ok 307/2000 (nd-only 0, parse-fail 50) distinct_ok 3 first_hit 5 written_hist {8: 1, 9: 2} lean 2s (12s; 86 done, 9s/thm, ETA 33 min)
d3req_86: n_ok 0/2000 (nd-only 0, parse-fail 12) distinct_ok 0 first_hit None written_hist {} lean 0s (11s; 87 done, 9s/thm, ETA 33 min)
d3req_87: n_ok 0/2000 (nd-only 0, parse-fail 1991) distinct_ok 0 first_hit None written_hist {} lean 0s (14s; 88 done, 9s/thm, ETA 33 min)
d3req_88: n_ok 0/2000 (nd-only 0, parse-fail 72) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 89 done, 9s/thm, ETA 32 min)
d3req_89: n_ok 0/2000 (nd-only 0, parse-fail 1070) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 90 done, 9s/thm, ETA 32 min)
d3req_90: n_ok 183/2000 (nd-only 0, parse-fail 1027) distinct_ok 1 first_hit 3 written_hist {8: 1} lean 0s (7s; 91 done, 9s/thm, ETA 32 min)
d3req_91: n_ok 0/2000 (nd-only 0, parse-fail 10) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 92 done, 9s/thm, ETA 32 min)
d3req_92: n_ok 257/2000 (nd-only 0, parse-fail 1614) distinct_ok 1 first_hit 25 written_hist {8: 1} lean 0s (7s; 93 done, 9s/thm, ETA 31 min)
d3req_93: n_ok 0/2000 (nd-only 0, parse-fail 55) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 94 done, 9s/thm, ETA 31 min)
d3req_94: n_ok 25/2000 (nd-only 0, parse-fail 108) distinct_ok 1 first_hit 22 written_hist {8: 1} lean 0s (7s; 95 done, 9s/thm, ETA 31 min)
d3req_95: n_ok 682/2000 (nd-only 0, parse-fail 1166) distinct_ok 2 first_hit 1 written_hist {8: 1, 9: 1} lean 0s (7s; 96 done, 9s/thm, ETA 31 min)
d3req_96: n_ok 222/2000 (nd-only 0, parse-fail 1763) distinct_ok 1 first_hit 3 written_hist {8: 1} lean 0s (7s; 97 done, 9s/thm, ETA 30 min)
d3req_97: n_ok 0/2000 (nd-only 0, parse-fail 6) distinct_ok 0 first_hit None written_hist {} lean 0s (4s; 98 done, 9s/thm, ETA 30 min)
d3req_98: n_ok 0/2000 (nd-only 0, parse-fail 22) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 99 done, 9s/thm, ETA 30 min)
d3req_99: n_ok 116/2000 (nd-only 0, parse-fail 1648) distinct_ok 1 first_hit 5 written_hist {8: 1} lean 0s (6s; 100 done, 9s/thm, ETA 30 min)
d3req_100: n_ok 742/2000 (nd-only 0, parse-fail 42) distinct_ok 1 first_hit 2 written_hist {8: 1} lean 1s (7s; 101 done, 9s/thm, ETA 29 min)
d3req_101: n_ok 3/2000 (nd-only 0, parse-fail 1904) distinct_ok 1 first_hit 433 written_hist {8: 1} lean 0s (8s; 102 done, 9s/thm, ETA 29 min)
d3req_102: n_ok 682/2000 (nd-only 0, parse-fail 1219) distinct_ok 1 first_hit 2 written_hist {8: 1} lean 0s (8s; 103 done, 9s/thm, ETA 29 min)
