START 2026-09-24T00:29:13Z until [ -f ckpts/lf/stage1_a1_seq_s1.pt ]; do sleep 30; done; python3 coverage_lean.py --ckpt ckpts/lf/stage1_a1_seq_s1.pt --in data/dsc/targets_depth3_sub250.jsonl --k 2000 --temperature 0.8 --seed 0 --batch 1024 --procs 2 --out artifacts/dsc/cov_c0_s1_d3sub
shard 0/1: 250 theorems, 0 already done; k=2000 T=0.8 batch=1024
targets_depth3_1: n_ok 0/2000 (nd-only 0, parse-fail 202) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 1 done, 6s/thm, ETA 25 min)
targets_depth3_14: n_ok 688/2000 (nd-only 0, parse-fail 1140) distinct_ok 1 first_hit 1 written_hist {7: 1} lean 0s (11s; 2 done, 9s/thm, ETA 36 min)
targets_depth3_16: n_ok 0/2000 (nd-only 0, parse-fail 1943) distinct_ok 0 first_hit None written_hist {} lean 0s (12s; 3 done, 10s/thm, ETA 40 min)
targets_depth3_22: n_ok 0/2000 (nd-only 0, parse-fail 1992) distinct_ok 0 first_hit None written_hist {} lean 0s (12s; 4 done, 10s/thm, ETA 42 min)
targets_depth3_23: n_ok 0/2000 (nd-only 0, parse-fail 1952) distinct_ok 0 first_hit None written_hist {} lean 0s (12s; 5 done, 11s/thm, ETA 43 min)
targets_depth3_27: n_ok 0/2000 (nd-only 0, parse-fail 2000) distinct_ok 0 first_hit None written_hist {} lean 0s (14s; 6 done, 11s/thm, ETA 45 min)
targets_depth3_33: n_ok 245/2000 (nd-only 0, parse-fail 699) distinct_ok 4 first_hit 3 written_hist {7: 4} lean 0s (10s; 7 done, 11s/thm, ETA 45 min)
targets_depth3_37: n_ok 0/2000 (nd-only 0, parse-fail 5) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 8 done, 11s/thm, ETA 44 min)
targets_depth3_39: n_ok 3/2000 (nd-only 0, parse-fail 39) distinct_ok 1 first_hit 453 written_hist {7: 1} lean 0s (5s; 9 done, 10s/thm, ETA 42 min)
targets_depth3_40: n_ok 0/2000 (nd-only 0, parse-fail 1979) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 10 done, 10s/thm, ETA 40 min)
targets_depth3_41: n_ok 0/2000 (nd-only 0, parse-fail 1528) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 11 done, 10s/thm, ETA 39 min)
targets_depth3_46: n_ok 0/2000 (nd-only 0, parse-fail 1897) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 12 done, 9s/thm, ETA 38 min)
targets_depth3_62: n_ok 0/2000 (nd-only 0, parse-fail 1489) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 13 done, 9s/thm, ETA 37 min)
targets_depth3_63: n_ok 0/2000 (nd-only 0, parse-fail 427) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 14 done, 9s/thm, ETA 36 min)
targets_depth3_64: n_ok 189/2000 (nd-only 0, parse-fail 849) distinct_ok 1 first_hit 5 written_hist {7: 1} lean 0s (6s; 15 done, 9s/thm, ETA 35 min)
targets_depth3_70: n_ok 6/2000 (nd-only 0, parse-fail 1980) distinct_ok 1 first_hit 329 written_hist {7: 1} lean 0s (7s; 16 done, 9s/thm, ETA 34 min)
targets_depth3_71: n_ok 23/2000 (nd-only 0, parse-fail 1945) distinct_ok 1 first_hit 27 written_hist {7: 1} lean 0s (8s; 17 done, 9s/thm, ETA 34 min)
targets_depth3_73: n_ok 27/2000 (nd-only 0, parse-fail 1598) distinct_ok 1 first_hit 74 written_hist {7: 1} lean 0s (7s; 18 done, 9s/thm, ETA 33 min)
targets_depth3_75: n_ok 151/2000 (nd-only 0, parse-fail 1553) distinct_ok 1 first_hit 1 written_hist {7: 1} lean 0s (7s; 19 done, 8s/thm, ETA 33 min)
targets_depth3_82: n_ok 25/2000 (nd-only 0, parse-fail 1951) distinct_ok 1 first_hit 36 written_hist {7: 1} lean 0s (8s; 20 done, 8s/thm, ETA 32 min)
targets_depth3_84: n_ok 512/2000 (nd-only 0, parse-fail 915) distinct_ok 1 first_hit 1 written_hist {7: 1} lean 0s (7s; 21 done, 8s/thm, ETA 32 min)
targets_depth3_91: n_ok 6/2000 (nd-only 0, parse-fail 1931) distinct_ok 2 first_hit 115 written_hist {7: 2} lean 0s (8s; 22 done, 8s/thm, ETA 32 min)
targets_depth3_93: n_ok 0/2000 (nd-only 0, parse-fail 32) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 23 done, 8s/thm, ETA 31 min)
targets_depth3_95: n_ok 67/2000 (nd-only 0, parse-fail 1642) distinct_ok 1 first_hit 17 written_hist {7: 1} lean 0s (8s; 24 done, 8s/thm, ETA 31 min)
targets_depth3_97: n_ok 1/2000 (nd-only 0, parse-fail 32) distinct_ok 1 first_hit 69 written_hist {7: 1} lean 0s (7s; 25 done, 8s/thm, ETA 31 min)
targets_depth3_101: n_ok 0/2000 (nd-only 0, parse-fail 1995) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 26 done, 8s/thm, ETA 31 min)
targets_depth3_103: n_ok 13/2000 (nd-only 0, parse-fail 1474) distinct_ok 1 first_hit 335 written_hist {7: 1} lean 0s (8s; 27 done, 8s/thm, ETA 30 min)
targets_depth3_111: n_ok 10/2000 (nd-only 0, parse-fail 1949) distinct_ok 1 first_hit 237 written_hist {7: 1} lean 0s (8s; 28 done, 8s/thm, ETA 30 min)
targets_depth3_118: n_ok 103/2000 (nd-only 0, parse-fail 259) distinct_ok 1 first_hit 11 written_hist {7: 1} lean 0s (7s; 29 done, 8s/thm, ETA 30 min)
targets_depth3_119: n_ok 0/2000 (nd-only 0, parse-fail 2000) distinct_ok 0 first_hit None written_hist {} lean 0s (13s; 30 done, 8s/thm, ETA 30 min)
targets_depth3_122: n_ok 1/2000 (nd-only 0, parse-fail 297) distinct_ok 1 first_hit 1509 written_hist {7: 1} lean 0s (8s; 31 done, 8s/thm, ETA 30 min)
targets_depth3_126: n_ok 0/2000 (nd-only 0, parse-fail 2000) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 32 done, 8s/thm, ETA 30 min)
targets_depth3_127: n_ok 34/2000 (nd-only 0, parse-fail 1766) distinct_ok 1 first_hit 372 written_hist {7: 1} lean 0s (7s; 33 done, 8s/thm, ETA 30 min)
targets_depth3_133: n_ok 549/2000 (nd-only 0, parse-fail 1325) distinct_ok 4 first_hit 1 written_hist {7: 4} lean 0s (8s; 34 done, 8s/thm, ETA 30 min)
targets_depth3_142: n_ok 2/2000 (nd-only 0, parse-fail 1997) distinct_ok 1 first_hit 1127 written_hist {7: 1} lean 0s (7s; 35 done, 8s/thm, ETA 29 min)
targets_depth3_143: n_ok 0/2000 (nd-only 0, parse-fail 1973) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 36 done, 8s/thm, ETA 29 min)
targets_depth3_145: n_ok 3/2000 (nd-only 0, parse-fail 1990) distinct_ok 1 first_hit 186 written_hist {7: 1} lean 0s (9s; 37 done, 8s/thm, ETA 29 min)
targets_depth3_149: n_ok 0/2000 (nd-only 0, parse-fail 1998) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 38 done, 8s/thm, ETA 29 min)
targets_depth3_150: n_ok 2/2000 (nd-only 0, parse-fail 1990) distinct_ok 1 first_hit 220 written_hist {7: 1} lean 0s (8s; 39 done, 8s/thm, ETA 29 min)
targets_depth3_153: n_ok 125/2000 (nd-only 0, parse-fail 1865) distinct_ok 1 first_hit 12 written_hist {7: 1} lean 0s (7s; 40 done, 8s/thm, ETA 29 min)
targets_depth3_174: n_ok 0/2000 (nd-only 0, parse-fail 1996) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 41 done, 8s/thm, ETA 28 min)
targets_depth3_184: n_ok 0/2000 (nd-only 0, parse-fail 1923) distinct_ok 0 first_hit None written_hist {} lean 0s (11s; 42 done, 8s/thm, ETA 29 min)
targets_depth3_188: n_ok 0/2000 (nd-only 0, parse-fail 29) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 43 done, 8s/thm, ETA 28 min)
targets_depth3_189: n_ok 0/2000 (nd-only 0, parse-fail 1189) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 44 done, 8s/thm, ETA 28 min)
targets_depth3_191: n_ok 10/2000 (nd-only 0, parse-fail 1987) distinct_ok 1 first_hit 139 written_hist {8: 1} lean 0s (9s; 45 done, 8s/thm, ETA 28 min)
targets_depth3_193: n_ok 0/2000 (nd-only 0, parse-fail 1984) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 46 done, 8s/thm, ETA 28 min)
targets_depth3_194: n_ok 0/2000 (nd-only 0, parse-fail 164) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 47 done, 8s/thm, ETA 28 min)
targets_depth3_195: n_ok 0/2000 (nd-only 0, parse-fail 1997) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 48 done, 8s/thm, ETA 28 min)
targets_depth3_199: n_ok 0/2000 (nd-only 0, parse-fail 1991) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 49 done, 8s/thm, ETA 28 min)
targets_depth3_204: n_ok 0/2000 (nd-only 0, parse-fail 1999) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 50 done, 8s/thm, ETA 27 min)
targets_depth3_208: n_ok 1/2000 (nd-only 0, parse-fail 1997) distinct_ok 1 first_hit 1948 written_hist {8: 1} lean 0s (10s; 51 done, 8s/thm, ETA 27 min)
targets_depth3_209: n_ok 0/2000 (nd-only 0, parse-fail 1880) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 52 done, 8s/thm, ETA 27 min)
targets_depth3_215: n_ok 0/2000 (nd-only 0, parse-fail 1889) distinct_ok 0 first_hit None written_hist {} lean 0s (11s; 53 done, 8s/thm, ETA 27 min)
targets_depth3_220: n_ok 7/2000 (nd-only 0, parse-fail 867) distinct_ok 1 first_hit 701 written_hist {8: 1} lean 0s (8s; 54 done, 8s/thm, ETA 27 min)
targets_depth3_223: n_ok 0/2000 (nd-only 0, parse-fail 2000) distinct_ok 0 first_hit None written_hist {} lean 0s (11s; 55 done, 8s/thm, ETA 27 min)
targets_depth3_224: n_ok 1/2000 (nd-only 0, parse-fail 1664) distinct_ok 1 first_hit 1837 written_hist {8: 1} lean 8s (19s; 56 done, 9s/thm, ETA 28 min)
targets_depth3_225: n_ok 1/2000 (nd-only 0, parse-fail 1984) distinct_ok 1 first_hit 54 written_hist {8: 1} lean 6s (38s; 57 done, 9s/thm, ETA 29 min)
targets_depth3_226: n_ok 0/2000 (nd-only 0, parse-fail 1998) distinct_ok 0 first_hit None written_hist {} lean 0s (23s; 58 done, 9s/thm, ETA 30 min)
