START 2026-09-23T22:59:38Z until [ -f ckpts/dsc/stage1_a4_s1.pt ]; do sleep 30; done; python3 coverage_lean.py --ckpt ckpts/dsc/stage1_a4_s1.pt --in data/p2/targets_reductio_req.jsonl --k 2000 --temperature 0.8 --seed 0 --batch 1024 --procs 2 --out artifacts/dsc/cov_a4_s1_redreq
shard 0/1: 300 theorems, 0 already done; k=2000 T=0.8 batch=1024
targets_reductio_req_0: n_ok 0/2000 (nd-only 0, parse-fail 741) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 1 done, 6s/thm, ETA 32 min)
targets_reductio_req_1: n_ok 0/2000 (nd-only 0, parse-fail 58) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 2 done, 6s/thm, ETA 29 min)
targets_reductio_req_2: n_ok 0/2000 (nd-only 0, parse-fail 79) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 3 done, 6s/thm, ETA 30 min)
targets_reductio_req_3: n_ok 0/2000 (nd-only 0, parse-fail 367) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 4 done, 6s/thm, ETA 30 min)
targets_reductio_req_4: n_ok 0/2000 (nd-only 0, parse-fail 1419) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 5 done, 6s/thm, ETA 31 min)
targets_reductio_req_5: n_ok 0/2000 (nd-only 0, parse-fail 3) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 6 done, 6s/thm, ETA 31 min)
targets_reductio_req_6: n_ok 0/2000 (nd-only 0, parse-fail 276) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 7 done, 6s/thm, ETA 31 min)
targets_reductio_req_7: n_ok 0/2000 (nd-only 0, parse-fail 364) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 8 done, 6s/thm, ETA 30 min)
targets_reductio_req_8: n_ok 0/2000 (nd-only 0, parse-fail 1499) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 9 done, 6s/thm, ETA 30 min)
targets_reductio_req_9: n_ok 0/2000 (nd-only 0, parse-fail 1096) distinct_ok 0 first_hit None written_hist {} lean 0s (11s; 10 done, 7s/thm, ETA 32 min)
targets_reductio_req_10: n_ok 0/2000 (nd-only 0, parse-fail 266) distinct_ok 0 first_hit None written_hist {} lean 0s (11s; 11 done, 7s/thm, ETA 33 min)
targets_reductio_req_11: n_ok 0/2000 (nd-only 0, parse-fail 95) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 12 done, 7s/thm, ETA 35 min)
targets_reductio_req_12: n_ok 0/2000 (nd-only 0, parse-fail 1740) distinct_ok 0 first_hit None written_hist {} lean 0s (11s; 13 done, 8s/thm, ETA 36 min)
targets_reductio_req_13: n_ok 0/2000 (nd-only 0, parse-fail 89) distinct_ok 0 first_hit None written_hist {} lean 0s (13s; 14 done, 8s/thm, ETA 38 min)
targets_reductio_req_14: n_ok 0/2000 (nd-only 0, parse-fail 56) distinct_ok 0 first_hit None written_hist {} lean 0s (12s; 15 done, 8s/thm, ETA 39 min)
targets_reductio_req_15: n_ok 0/2000 (nd-only 0, parse-fail 128) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 16 done, 8s/thm, ETA 38 min)
targets_reductio_req_16: n_ok 0/2000 (nd-only 0, parse-fail 1574) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 17 done, 8s/thm, ETA 38 min)
targets_reductio_req_17: n_ok 0/2000 (nd-only 0, parse-fail 92) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 18 done, 8s/thm, ETA 37 min)
targets_reductio_req_18: n_ok 0/2000 (nd-only 0, parse-fail 13) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 19 done, 8s/thm, ETA 37 min)
targets_reductio_req_19: n_ok 0/2000 (nd-only 0, parse-fail 64) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 20 done, 8s/thm, ETA 37 min)
targets_reductio_req_20: n_ok 0/2000 (nd-only 0, parse-fail 226) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 21 done, 8s/thm, ETA 36 min)
targets_reductio_req_21: n_ok 0/2000 (nd-only 0, parse-fail 1370) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 22 done, 8s/thm, ETA 36 min)
targets_reductio_req_22: n_ok 0/2000 (nd-only 0, parse-fail 1937) distinct_ok 0 first_hit None written_hist {} lean 0s (14s; 23 done, 8s/thm, ETA 37 min)
