START 2026-09-24T00:24:44Z until [ -f ckpts/dsc/stage1_a1_s0.pt ]; do sleep 30; done; python3 coverage_lean.py --ckpt ckpts/dsc/stage1_a1_s0.pt --in data/dsc/targets_depth3_sub250.jsonl --k 2000 --temperature 0.8 --seed 0 --batch 1024 --procs 2 --out artifacts/dsc/cov_a1_s0_d3sub
shard 0/1: 250 theorems, 0 already done; k=2000 T=0.8 batch=1024
targets_depth3_1: n_ok 0/2000 (nd-only 0, parse-fail 198) distinct_ok 0 first_hit None written_hist {} lean 0s (11s; 1 done, 11s/thm, ETA 47 min)
targets_depth3_14: n_ok 1120/2000 (nd-only 0, parse-fail 791) distinct_ok 1 first_hit 5 written_hist {7: 1} lean 0s (10s; 2 done, 11s/thm, ETA 44 min)
targets_depth3_16: n_ok 102/2000 (nd-only 0, parse-fail 1847) distinct_ok 1 first_hit 13 written_hist {7: 1} lean 9s (22s; 3 done, 15s/thm, ETA 60 min)
targets_depth3_22: n_ok 179/2000 (nd-only 0, parse-fail 1794) distinct_ok 3 first_hit 34 written_hist {7: 1, 8: 2} lean 8s (50s; 4 done, 23s/thm, ETA 96 min)
targets_depth3_23: n_ok 8/2000 (nd-only 0, parse-fail 1919) distinct_ok 1 first_hit 188 written_hist {7: 1} lean 4s (30s; 5 done, 25s/thm, ETA 100 min)
targets_depth3_27: n_ok 74/2000 (nd-only 0, parse-fail 1926) distinct_ok 1 first_hit 4 written_hist {7: 1} lean 5s (41s; 6 done, 27s/thm, ETA 111 min)
targets_depth3_33: n_ok 540/2000 (nd-only 0, parse-fail 1379) distinct_ok 4 first_hit 1 written_hist {7: 4} lean 9s (35s; 7 done, 28s/thm, ETA 115 min)
targets_depth3_37: n_ok 2/2000 (nd-only 0, parse-fail 17) distinct_ok 1 first_hit 52 written_hist {7: 1} lean 1s (17s; 8 done, 27s/thm, ETA 109 min)
targets_depth3_39: n_ok 53/2000 (nd-only 0, parse-fail 291) distinct_ok 1 first_hit 8 written_hist {7: 1} lean 0s (5s; 9 done, 25s/thm, ETA 99 min)
targets_depth3_40: n_ok 0/2000 (nd-only 0, parse-fail 2000) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 10 done, 23s/thm, ETA 92 min)
targets_depth3_41: n_ok 5/2000 (nd-only 0, parse-fail 777) distinct_ok 1 first_hit 374 written_hist {7: 1} lean 0s (12s; 11 done, 22s/thm, ETA 88 min)
targets_depth3_46: n_ok 10/2000 (nd-only 0, parse-fail 1291) distinct_ok 1 first_hit 43 written_hist {7: 1} lean 0s (9s; 12 done, 21s/thm, ETA 83 min)
targets_depth3_62: n_ok 0/2000 (nd-only 0, parse-fail 1930) distinct_ok 0 first_hit None written_hist {} lean 0s (11s; 13 done, 20s/thm, ETA 80 min)
targets_depth3_63: n_ok 0/2000 (nd-only 0, parse-fail 1996) distinct_ok 0 first_hit None written_hist {} lean 0s (15s; 14 done, 20s/thm, ETA 78 min)
targets_depth3_64: n_ok 344/2000 (nd-only 0, parse-fail 350) distinct_ok 1 first_hit 2 written_hist {7: 1} lean 0s (8s; 15 done, 19s/thm, ETA 75 min)
targets_depth3_70: n_ok 37/2000 (nd-only 0, parse-fail 1495) distinct_ok 3 first_hit 56 written_hist {7: 1, 8: 2} lean 0s (8s; 16 done, 18s/thm, ETA 71 min)
targets_depth3_71: n_ok 8/2000 (nd-only 0, parse-fail 1963) distinct_ok 1 first_hit 190 written_hist {7: 1} lean 0s (9s; 17 done, 18s/thm, ETA 69 min)
targets_depth3_73: n_ok 77/2000 (nd-only 0, parse-fail 1712) distinct_ok 1 first_hit 4 written_hist {7: 1} lean 0s (8s; 18 done, 17s/thm, ETA 67 min)
targets_depth3_75: n_ok 7/2000 (nd-only 0, parse-fail 1932) distinct_ok 1 first_hit 295 written_hist {7: 1} lean 0s (11s; 19 done, 17s/thm, ETA 65 min)
targets_depth3_82: n_ok 36/2000 (nd-only 0, parse-fail 1685) distinct_ok 1 first_hit 23 written_hist {7: 1} lean 0s (9s; 20 done, 16s/thm, ETA 63 min)
targets_depth3_84: n_ok 235/2000 (nd-only 0, parse-fail 521) distinct_ok 1 first_hit 9 written_hist {7: 1} lean 0s (8s; 21 done, 16s/thm, ETA 61 min)
targets_depth3_91: n_ok 807/2000 (nd-only 0, parse-fail 1033) distinct_ok 2 first_hit 1 written_hist {7: 2} lean 1s (10s; 22 done, 16s/thm, ETA 60 min)
targets_depth3_93: n_ok 9/2000 (nd-only 0, parse-fail 126) distinct_ok 1 first_hit 467 written_hist {7: 1} lean 0s (8s; 23 done, 15s/thm, ETA 58 min)
targets_depth3_95: n_ok 87/2000 (nd-only 0, parse-fail 486) distinct_ok 2 first_hit 32 written_hist {7: 1, 8: 1} lean 0s (11s; 24 done, 15s/thm, ETA 58 min)
targets_depth3_97: n_ok 0/2000 (nd-only 0, parse-fail 45) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 25 done, 15s/thm, ETA 56 min)
targets_depth3_101: n_ok 4/2000 (nd-only 0, parse-fail 1969) distinct_ok 1 first_hit 911 written_hist {7: 1} lean 0s (11s; 26 done, 15s/thm, ETA 55 min)
targets_depth3_103: n_ok 52/2000 (nd-only 0, parse-fail 1796) distinct_ok 2 first_hit 27 written_hist {7: 1, 8: 1} lean 0s (11s; 27 done, 15s/thm, ETA 55 min)
targets_depth3_111: n_ok 4/2000 (nd-only 0, parse-fail 1970) distinct_ok 1 first_hit 204 written_hist {7: 1} lean 0s (10s; 28 done, 15s/thm, ETA 54 min)
targets_depth3_118: n_ok 0/2000 (nd-only 0, parse-fail 8) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 29 done, 14s/thm, ETA 53 min)
targets_depth3_119: n_ok 0/2000 (nd-only 0, parse-fail 1673) distinct_ok 0 first_hit None written_hist {} lean 0s (16s; 30 done, 14s/thm, ETA 53 min)
