START 2026-09-23T23:27:27Z until [ -f ckpts/dsc/stage1_a1_s1.pt ]; do sleep 30; done; python3 coverage_lean.py --ckpt ckpts/dsc/stage1_a1_s1.pt --in data/r3_1/depth3_req.jsonl --k 2000 --temperature 0.8 --seed 0 --batch 1024 --procs 2 --out artifacts/dsc/cov_a1_s1_d3req
shard 0/1: 300 theorems, 0 already done; k=2000 T=0.8 batch=1024
d3req_0: n_ok 1/2000 (nd-only 0, parse-fail 183) distinct_ok 1 first_hit 1190 written_hist {8: 1} lean 0s (7s; 1 done, 7s/thm, ETA 33 min)
d3req_1: n_ok 558/2000 (nd-only 0, parse-fail 450) distinct_ok 2 first_hit 1 written_hist {8: 2} lean 1s (7s; 2 done, 7s/thm, ETA 34 min)
d3req_2: n_ok 0/2000 (nd-only 0, parse-fail 0) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 3 done, 7s/thm, ETA 35 min)
d3req_3: n_ok 1074/2000 (nd-only 0, parse-fail 890) distinct_ok 1 first_hit 1 written_hist {8: 1} lean 1s (11s; 4 done, 8s/thm, ETA 39 min)
d3req_4: n_ok 1307/2000 (nd-only 0, parse-fail 494) distinct_ok 3 first_hit 1 written_hist {8: 3} lean 1s (11s; 5 done, 9s/thm, ETA 42 min)
d3req_5: n_ok 5/2000 (nd-only 0, parse-fail 7) distinct_ok 1 first_hit 802 written_hist {8: 1} lean 0s (8s; 6 done, 8s/thm, ETA 42 min)
d3req_6: n_ok 0/2000 (nd-only 0, parse-fail 5) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 7 done, 8s/thm, ETA 41 min)
d3req_7: n_ok 0/2000 (nd-only 0, parse-fail 822) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 8 done, 9s/thm, ETA 42 min)
d3req_8: n_ok 1358/2000 (nd-only 0, parse-fail 610) distinct_ok 1 first_hit 2 written_hist {8: 1} lean 1s (11s; 9 done, 9s/thm, ETA 43 min)
d3req_9: n_ok 0/2000 (nd-only 0, parse-fail 698) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 10 done, 9s/thm, ETA 43 min)
d3req_10: n_ok 1/2000 (nd-only 0, parse-fail 519) distinct_ok 1 first_hit 1718 written_hist {8: 1} lean 0s (11s; 11 done, 9s/thm, ETA 44 min)
d3req_11: n_ok 23/2000 (nd-only 0, parse-fail 1865) distinct_ok 1 first_hit 176 written_hist {8: 1} lean 0s (11s; 12 done, 9s/thm, ETA 45 min)
d3req_12: n_ok 227/2000 (nd-only 0, parse-fail 1033) distinct_ok 1 first_hit 3 written_hist {8: 1} lean 0s (10s; 13 done, 9s/thm, ETA 45 min)
d3req_13: n_ok 1463/2000 (nd-only 0, parse-fail 382) distinct_ok 1 first_hit 1 written_hist {8: 1} lean 1s (11s; 14 done, 9s/thm, ETA 45 min)
d3req_14: n_ok 68/2000 (nd-only 0, parse-fail 23) distinct_ok 1 first_hit 30 written_hist {8: 1} lean 0s (11s; 15 done, 10s/thm, ETA 45 min)
d3req_15: n_ok 0/2000 (nd-only 0, parse-fail 288) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 16 done, 9s/thm, ETA 45 min)
d3req_16: n_ok 6/2000 (nd-only 0, parse-fail 302) distinct_ok 1 first_hit 357 written_hist {8: 1} lean 0s (7s; 17 done, 9s/thm, ETA 44 min)
d3req_17: n_ok 1390/2000 (nd-only 0, parse-fail 596) distinct_ok 1 first_hit 1 written_hist {8: 1} lean 1s (13s; 18 done, 9s/thm, ETA 45 min)
d3req_18: n_ok 0/2000 (nd-only 0, parse-fail 1909) distinct_ok 0 first_hit None written_hist {} lean 0s (14s; 19 done, 10s/thm, ETA 46 min)
d3req_19: n_ok 228/2000 (nd-only 0, parse-fail 1487) distinct_ok 1 first_hit 3 written_hist {8: 1} lean 0s (11s; 20 done, 10s/thm, ETA 46 min)
