START 2026-09-24T00:35:10Z until [ -f ckpts/dsc/stage1_a3_s0.pt ]; do sleep 30; done; python3 coverage_lean.py --ckpt ckpts/dsc/stage1_a3_s0.pt --in data/dsc/targets_depth3_sub250.jsonl --k 2000 --temperature 0.8 --seed 0 --batch 1024 --procs 2 --out artifacts/dsc/cov_a3_s0_d3sub
shard 0/1: 250 theorems, 0 already done; k=2000 T=0.8 batch=1024
targets_depth3_1: n_ok 627/2000 (nd-only 0, parse-fail 20) distinct_ok 2 first_hit 1 written_hist {7: 1, 8: 1} lean 1s (10s; 1 done, 10s/thm, ETA 42 min)
targets_depth3_14: n_ok 1886/2000 (nd-only 0, parse-fail 52) distinct_ok 2 first_hit 1 written_hist {7: 1, 8: 1} lean 0s (8s; 2 done, 9s/thm, ETA 37 min)
targets_depth3_16: n_ok 1813/2000 (nd-only 0, parse-fail 41) distinct_ok 1 first_hit 2 written_hist {7: 1} lean 0s (10s; 3 done, 9s/thm, ETA 38 min)
targets_depth3_22: n_ok 790/2000 (nd-only 0, parse-fail 337) distinct_ok 5 first_hit 6 written_hist {7: 1, 8: 3, 9: 1} lean 1s (11s; 4 done, 10s/thm, ETA 40 min)
targets_depth3_23: n_ok 669/2000 (nd-only 0, parse-fail 82) distinct_ok 1 first_hit 5 written_hist {7: 1} lean 0s (9s; 5 done, 10s/thm, ETA 39 min)
targets_depth3_27: n_ok 1502/2000 (nd-only 0, parse-fail 497) distinct_ok 2 first_hit 1 written_hist {7: 1, 8: 1} lean 0s (12s; 6 done, 10s/thm, ETA 41 min)
targets_depth3_33: n_ok 1086/2000 (nd-only 0, parse-fail 151) distinct_ok 5 first_hit 1 written_hist {7: 4, 8: 1} lean 1s (8s; 7 done, 10s/thm, ETA 39 min)
targets_depth3_37: n_ok 138/2000 (nd-only 0, parse-fail 49) distinct_ok 2 first_hit 2 written_hist {7: 1, 10: 1} lean 0s (8s; 8 done, 10s/thm, ETA 38 min)
targets_depth3_39: n_ok 1086/2000 (nd-only 0, parse-fail 195) distinct_ok 3 first_hit 2 written_hist {7: 1, 8: 1, 10: 1} lean 1s (10s; 9 done, 10s/thm, ETA 38 min)
targets_depth3_40: n_ok 1835/2000 (nd-only 0, parse-fail 161) distinct_ok 1 first_hit 3 written_hist {7: 1} lean 0s (8s; 10 done, 9s/thm, ETA 38 min)
targets_depth3_41: n_ok 1132/2000 (nd-only 0, parse-fail 109) distinct_ok 2 first_hit 1 written_hist {7: 1, 8: 1} lean 1s (14s; 11 done, 10s/thm, ETA 39 min)
targets_depth3_46: n_ok 1558/2000 (nd-only 0, parse-fail 60) distinct_ok 1 first_hit 1 written_hist {7: 1} lean 1s (12s; 12 done, 10s/thm, ETA 40 min)
targets_depth3_62: n_ok 1673/2000 (nd-only 0, parse-fail 68) distinct_ok 1 first_hit 1 written_hist {7: 1} lean 1s (12s; 13 done, 10s/thm, ETA 40 min)
targets_depth3_63: n_ok 680/2000 (nd-only 0, parse-fail 122) distinct_ok 1 first_hit 3 written_hist {7: 1} lean 0s (10s; 14 done, 10s/thm, ETA 40 min)
targets_depth3_64: n_ok 572/2000 (nd-only 0, parse-fail 103) distinct_ok 4 first_hit 5 written_hist {7: 1, 8: 3} lean 0s (10s; 15 done, 10s/thm, ETA 40 min)
targets_depth3_70: n_ok 6/2000 (nd-only 0, parse-fail 58) distinct_ok 1 first_hit 92 written_hist {7: 1} lean 0s (10s; 16 done, 10s/thm, ETA 40 min)
targets_depth3_71: n_ok 1909/2000 (nd-only 0, parse-fail 42) distinct_ok 1 first_hit 1 written_hist {7: 1} lean 0s (10s; 17 done, 10s/thm, ETA 40 min)
targets_depth3_73: n_ok 1781/2000 (nd-only 0, parse-fail 209) distinct_ok 3 first_hit 1 written_hist {7: 1, 8: 2} lean 0s (10s; 18 done, 10s/thm, ETA 40 min)
targets_depth3_75: n_ok 424/2000 (nd-only 0, parse-fail 372) distinct_ok 1 first_hit 1 written_hist {7: 1} lean 0s (9s; 19 done, 10s/thm, ETA 39 min)
targets_depth3_82: n_ok 531/2000 (nd-only 0, parse-fail 178) distinct_ok 4 first_hit 1 written_hist {7: 1, 8: 3} lean 1s (13s; 20 done, 10s/thm, ETA 40 min)
targets_depth3_84: n_ok 1489/2000 (nd-only 0, parse-fail 323) distinct_ok 1 first_hit 1 written_hist {7: 1} lean 0s (9s; 21 done, 10s/thm, ETA 39 min)
targets_depth3_91: n_ok 1790/2000 (nd-only 0, parse-fail 164) distinct_ok 5 first_hit 1 written_hist {7: 2, 8: 3} lean 1s (12s; 22 done, 10s/thm, ETA 39 min)
targets_depth3_93: n_ok 11/2000 (nd-only 0, parse-fail 25) distinct_ok 1 first_hit 48 written_hist {7: 1} lean 0s (9s; 23 done, 10s/thm, ETA 39 min)
targets_depth3_95: n_ok 464/2000 (nd-only 0, parse-fail 137) distinct_ok 1 first_hit 1 written_hist {7: 1} lean 6s (23s; 24 done, 11s/thm, ETA 41 min)
targets_depth3_97: n_ok 123/2000 (nd-only 0, parse-fail 17) distinct_ok 2 first_hit 2 written_hist {7: 1, 8: 1} lean 5s (25s; 25 done, 11s/thm, ETA 43 min)
targets_depth3_101: n_ok 1507/2000 (nd-only 0, parse-fail 104) distinct_ok 2 first_hit 3 written_hist {7: 1, 8: 1} lean 5s (31s; 26 done, 12s/thm, ETA 45 min)
targets_depth3_103: n_ok 1676/2000 (nd-only 0, parse-fail 135) distinct_ok 3 first_hit 1 written_hist {7: 1, 8: 2} lean 5s (26s; 27 done, 13s/thm, ETA 47 min)
targets_depth3_111: n_ok 1853/2000 (nd-only 0, parse-fail 117) distinct_ok 1 first_hit 2 written_hist {7: 1} lean 5s (30s; 28 done, 13s/thm, ETA 49 min)
targets_depth3_118: n_ok 1226/2000 (nd-only 0, parse-fail 88) distinct_ok 1 first_hit 1 written_hist {7: 1} lean 0s (19s; 29 done, 13s/thm, ETA 50 min)
targets_depth3_119: n_ok 1754/2000 (nd-only 0, parse-fail 95) distinct_ok 2 first_hit 1 written_hist {7: 2} lean 1s (11s; 30 done, 13s/thm, ETA 49 min)
targets_depth3_122: n_ok 110/2000 (nd-only 0, parse-fail 47) distinct_ok 1 first_hit 8 written_hist {7: 1} lean 0s (10s; 31 done, 13s/thm, ETA 48 min)
targets_depth3_126: n_ok 1613/2000 (nd-only 0, parse-fail 275) distinct_ok 2 first_hit 2 written_hist {7: 1, 8: 1} lean 0s (12s; 32 done, 13s/thm, ETA 48 min)
targets_depth3_127: n_ok 1922/2000 (nd-only 0, parse-fail 68) distinct_ok 1 first_hit 1 written_hist {7: 1} lean 0s (10s; 33 done, 13s/thm, ETA 48 min)
targets_depth3_133: n_ok 1639/2000 (nd-only 0, parse-fail 103) distinct_ok 6 first_hit 1 written_hist {7: 4, 8: 2} lean 1s (11s; 34 done, 13s/thm, ETA 47 min)
targets_depth3_142: n_ok 1049/2000 (nd-only 0, parse-fail 616) distinct_ok 5 first_hit 6 written_hist {7: 1, 8: 4} lean 1s (13s; 35 done, 13s/thm, ETA 47 min)
targets_depth3_143: n_ok 1931/2000 (nd-only 0, parse-fail 37) distinct_ok 2 first_hit 1 written_hist {7: 1, 8: 1} lean 1s (11s; 36 done, 13s/thm, ETA 46 min)
targets_depth3_145: n_ok 459/2000 (nd-only 0, parse-fail 84) distinct_ok 2 first_hit 2 written_hist {7: 1, 8: 1} lean 4s (19s; 37 done, 13s/thm, ETA 47 min)
targets_depth3_149: n_ok 1860/2000 (nd-only 0, parse-fail 115) distinct_ok 2 first_hit 1 written_hist {7: 1, 8: 1} lean 5s (31s; 38 done, 14s/thm, ETA 48 min)
targets_depth3_150: n_ok 1799/2000 (nd-only 0, parse-fail 87) distinct_ok 5 first_hit 1 written_hist {7: 2, 8: 3} lean 8s (28s; 39 done, 14s/thm, ETA 49 min)
targets_depth3_153: n_ok 1803/2000 (nd-only 0, parse-fail 188) distinct_ok 1 first_hit 1 written_hist {7: 1} lean 5s (24s; 40 done, 14s/thm, ETA 50 min)
targets_depth3_174: n_ok 18/2000 (nd-only 0, parse-fail 472) distinct_ok 2 first_hit 70 written_hist {8: 1, 13: 1} lean 4s (44s; 41 done, 15s/thm, ETA 52 min)
