START 2026-09-23T23:27:12Z until [ -f ckpts/lf/stage1_a1_seq_s0.pt ]; do sleep 30; done; python3 coverage_lean.py --ckpt ckpts/lf/stage1_a1_seq_s0.pt --in data/r3_1/depth3_req.jsonl --k 2000 --temperature 0.8 --seed 0 --batch 1024 --procs 2 --out artifacts/dsc/cov_c0_s0_d3req
shard 0/1: 300 theorems, 0 already done; k=2000 T=0.8 batch=1024
d3req_0: n_ok 11/2000 (nd-only 0, parse-fail 69) distinct_ok 1 first_hit 157 written_hist {8: 1} lean 0s (6s; 1 done, 6s/thm, ETA 29 min)
d3req_1: n_ok 8/2000 (nd-only 0, parse-fail 1930) distinct_ok 1 first_hit 298 written_hist {8: 1} lean 0s (7s; 2 done, 6s/thm, ETA 31 min)
d3req_2: n_ok 87/2000 (nd-only 0, parse-fail 315) distinct_ok 1 first_hit 2 written_hist {8: 1} lean 0s (7s; 3 done, 6s/thm, ETA 32 min)
d3req_3: n_ok 0/2000 (nd-only 0, parse-fail 1994) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 4 done, 7s/thm, ETA 34 min)
d3req_4: n_ok 0/2000 (nd-only 0, parse-fail 1999) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 5 done, 7s/thm, ETA 35 min)
d3req_5: n_ok 2/2000 (nd-only 0, parse-fail 1671) distinct_ok 1 first_hit 1378 written_hist {8: 1} lean 0s (8s; 6 done, 7s/thm, ETA 36 min)
d3req_6: n_ok 223/2000 (nd-only 0, parse-fail 481) distinct_ok 1 first_hit 3 written_hist {8: 1} lean 0s (7s; 7 done, 7s/thm, ETA 36 min)
d3req_7: n_ok 1/2000 (nd-only 0, parse-fail 1731) distinct_ok 1 first_hit 368 written_hist {8: 1} lean 0s (8s; 8 done, 7s/thm, ETA 36 min)
d3req_8: n_ok 117/2000 (nd-only 0, parse-fail 1823) distinct_ok 1 first_hit 22 written_hist {8: 1} lean 0s (9s; 9 done, 8s/thm, ETA 37 min)
d3req_9: n_ok 0/2000 (nd-only 0, parse-fail 1078) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 10 done, 8s/thm, ETA 37 min)
d3req_10: n_ok 0/2000 (nd-only 0, parse-fail 1840) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 11 done, 8s/thm, ETA 37 min)
d3req_11: n_ok 0/2000 (nd-only 0, parse-fail 1992) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 12 done, 8s/thm, ETA 37 min)
d3req_12: n_ok 32/2000 (nd-only 0, parse-fail 1779) distinct_ok 1 first_hit 110 written_hist {8: 1} lean 0s (9s; 13 done, 8s/thm, ETA 37 min)
d3req_13: n_ok 0/2000 (nd-only 0, parse-fail 1884) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 14 done, 8s/thm, ETA 37 min)
d3req_14: n_ok 598/2000 (nd-only 0, parse-fail 523) distinct_ok 1 first_hit 5 written_hist {8: 1} lean 0s (9s; 15 done, 8s/thm, ETA 37 min)
