START 2026-09-23T23:27:30Z until [ -f ckpts/dsc/stage1_a4_s1.pt ]; do sleep 30; done; python3 coverage_lean.py --ckpt ckpts/dsc/stage1_a4_s1.pt --in data/r3_1/depth3_req.jsonl --k 2000 --temperature 0.8 --seed 0 --batch 1024 --procs 2 --out artifacts/dsc/cov_a4_s1_d3req
shard 0/1: 300 theorems, 0 already done; k=2000 T=0.8 batch=1024
d3req_0: n_ok 0/2000 (nd-only 0, parse-fail 164) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 1 done, 6s/thm, ETA 28 min)
d3req_1: n_ok 0/2000 (nd-only 0, parse-fail 1998) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 2 done, 5s/thm, ETA 27 min)
d3req_2: n_ok 0/2000 (nd-only 0, parse-fail 51) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 3 done, 5s/thm, ETA 27 min)
d3req_3: n_ok 1/2000 (nd-only 0, parse-fail 1967) distinct_ok 1 first_hit 1704 written_hist {8: 1} lean 1s (11s; 4 done, 7s/thm, ETA 33 min)
d3req_4: n_ok 18/2000 (nd-only 0, parse-fail 1982) distinct_ok 3 first_hit 219 written_hist {8: 3} lean 0s (6s; 5 done, 7s/thm, ETA 33 min)
d3req_5: n_ok 3/2000 (nd-only 0, parse-fail 284) distinct_ok 1 first_hit 406 written_hist {8: 1} lean 0s (9s; 6 done, 7s/thm, ETA 35 min)
d3req_6: n_ok 0/2000 (nd-only 0, parse-fail 11) distinct_ok 0 first_hit None written_hist {} lean 0s (12s; 7 done, 8s/thm, ETA 38 min)
d3req_7: n_ok 0/2000 (nd-only 0, parse-fail 1934) distinct_ok 0 first_hit None written_hist {} lean 0s (13s; 8 done, 8s/thm, ETA 41 min)
d3req_8: n_ok 0/2000 (nd-only 0, parse-fail 1463) distinct_ok 0 first_hit None written_hist {} lean 0s (12s; 9 done, 9s/thm, ETA 43 min)
d3req_9: n_ok 0/2000 (nd-only 0, parse-fail 1605) distinct_ok 0 first_hit None written_hist {} lean 0s (13s; 10 done, 9s/thm, ETA 45 min)
d3req_10: n_ok 0/2000 (nd-only 0, parse-fail 1983) distinct_ok 0 first_hit None written_hist {} lean 0s (13s; 11 done, 10s/thm, ETA 46 min)
d3req_11: n_ok 0/2000 (nd-only 0, parse-fail 1984) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 12 done, 10s/thm, ETA 46 min)
d3req_12: n_ok 0/2000 (nd-only 0, parse-fail 1848) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 13 done, 9s/thm, ETA 45 min)
d3req_13: n_ok 0/2000 (nd-only 0, parse-fail 1962) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 14 done, 9s/thm, ETA 45 min)
d3req_14: n_ok 91/2000 (nd-only 0, parse-fail 1210) distinct_ok 1 first_hit 25 written_hist {8: 1} lean 0s (9s; 15 done, 9s/thm, ETA 44 min)
d3req_15: n_ok 0/2000 (nd-only 0, parse-fail 1922) distinct_ok 0 first_hit None written_hist {} lean 0s (5s; 16 done, 9s/thm, ETA 43 min)
d3req_16: n_ok 0/2000 (nd-only 0, parse-fail 657) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 17 done, 9s/thm, ETA 42 min)
d3req_17: n_ok 0/2000 (nd-only 0, parse-fail 2000) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 18 done, 9s/thm, ETA 41 min)
d3req_18: n_ok 0/2000 (nd-only 0, parse-fail 1943) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 19 done, 9s/thm, ETA 42 min)
d3req_19: n_ok 0/2000 (nd-only 0, parse-fail 1899) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 20 done, 9s/thm, ETA 42 min)
d3req_20: n_ok 0/2000 (nd-only 0, parse-fail 1202) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 21 done, 9s/thm, ETA 42 min)
d3req_21: n_ok 0/2000 (nd-only 0, parse-fail 55) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 22 done, 9s/thm, ETA 41 min)
d3req_22: n_ok 0/2000 (nd-only 0, parse-fail 1998) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 23 done, 9s/thm, ETA 41 min)
d3req_23: n_ok 0/2000 (nd-only 0, parse-fail 1963) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 24 done, 9s/thm, ETA 41 min)
d3req_24: n_ok 0/2000 (nd-only 0, parse-fail 25) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 25 done, 9s/thm, ETA 40 min)
d3req_25: n_ok 0/2000 (nd-only 0, parse-fail 2000) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 26 done, 9s/thm, ETA 40 min)
d3req_26: n_ok 4/2000 (nd-only 0, parse-fail 1044) distinct_ok 2 first_hit 148 written_hist {8: 2} lean 0s (10s; 27 done, 9s/thm, ETA 40 min)
d3req_27: n_ok 0/2000 (nd-only 0, parse-fail 1999) distinct_ok 0 first_hit None written_hist {} lean 0s (9s; 28 done, 9s/thm, ETA 40 min)
d3req_28: n_ok 38/2000 (nd-only 0, parse-fail 138) distinct_ok 7 first_hit 1 written_hist {8: 7} lean 0s (7s; 29 done, 9s/thm, ETA 39 min)
d3req_29: n_ok 3/2000 (nd-only 0, parse-fail 404) distinct_ok 2 first_hit 526 written_hist {8: 2} lean 0s (7s; 30 done, 9s/thm, ETA 39 min)
d3req_30: n_ok 4/2000 (nd-only 0, parse-fail 1993) distinct_ok 1 first_hit 164 written_hist {8: 1} lean 0s (12s; 31 done, 9s/thm, ETA 39 min)
d3req_31: n_ok 0/2000 (nd-only 0, parse-fail 1984) distinct_ok 0 first_hit None written_hist {} lean 0s (12s; 32 done, 9s/thm, ETA 40 min)
d3req_32: n_ok 2/2000 (nd-only 0, parse-fail 1930) distinct_ok 1 first_hit 525 written_hist {8: 1} lean 0s (11s; 33 done, 9s/thm, ETA 40 min)
d3req_33: n_ok 1/2000 (nd-only 0, parse-fail 1996) distinct_ok 1 first_hit 170 written_hist {8: 1} lean 0s (10s; 34 done, 9s/thm, ETA 40 min)
d3req_34: n_ok 17/2000 (nd-only 0, parse-fail 1038) distinct_ok 1 first_hit 4 written_hist {8: 1} lean 0s (7s; 35 done, 9s/thm, ETA 39 min)
d3req_35: n_ok 0/2000 (nd-only 0, parse-fail 8) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 36 done, 9s/thm, ETA 39 min)
d3req_36: n_ok 17/2000 (nd-only 0, parse-fail 1780) distinct_ok 1 first_hit 214 written_hist {8: 1} lean 0s (9s; 37 done, 9s/thm, ETA 39 min)
d3req_37: n_ok 1/2000 (nd-only 0, parse-fail 1995) distinct_ok 1 first_hit 607 written_hist {8: 1} lean 0s (10s; 38 done, 9s/thm, ETA 39 min)
d3req_38: n_ok 8/2000 (nd-only 0, parse-fail 1991) distinct_ok 1 first_hit 212 written_hist {8: 1} lean 0s (11s; 39 done, 9s/thm, ETA 39 min)
d3req_39: n_ok 2/2000 (nd-only 0, parse-fail 26) distinct_ok 1 first_hit 1726 written_hist {8: 1} lean 0s (7s; 40 done, 9s/thm, ETA 39 min)
d3req_40: n_ok 0/2000 (nd-only 0, parse-fail 1829) distinct_ok 0 first_hit None written_hist {} lean 0s (7s; 41 done, 9s/thm, ETA 38 min)
d3req_41: n_ok 143/2000 (nd-only 0, parse-fail 1746) distinct_ok 1 first_hit 8 written_hist {7: 1} lean 0s (9s; 42 done, 9s/thm, ETA 38 min)
d3req_42: n_ok 21/2000 (nd-only 0, parse-fail 1735) distinct_ok 1 first_hit 134 written_hist {8: 1} lean 0s (8s; 43 done, 9s/thm, ETA 38 min)
d3req_43: n_ok 0/2000 (nd-only 0, parse-fail 521) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 44 done, 9s/thm, ETA 38 min)
d3req_44: n_ok 0/2000 (nd-only 0, parse-fail 17) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 45 done, 9s/thm, ETA 37 min)
d3req_45: n_ok 8/2000 (nd-only 0, parse-fail 1988) distinct_ok 1 first_hit 602 written_hist {8: 1} lean 2s (12s; 46 done, 9s/thm, ETA 37 min)
d3req_46: n_ok 15/2000 (nd-only 0, parse-fail 1956) distinct_ok 1 first_hit 103 written_hist {8: 1} lean 1s (15s; 47 done, 9s/thm, ETA 38 min)
