START 2026-09-23T23:41:55Z until [ -f ckpts/dsc/stage1_a4_s0.pt ]; do sleep 30; done; python3 coverage_lean.py --ckpt ckpts/dsc/stage1_a4_s0.pt --in data/dsc/targets_depth3_sub250.jsonl --k 2000 --temperature 0.8 --seed 0 --batch 1024 --procs 2 --out artifacts/dsc/cov_a4_s0_d3sub
shard 0/1: 250 theorems, 0 already done; k=2000 T=0.8 batch=1024
targets_depth3_1: n_ok 0/2000 (nd-only 0, parse-fail 41) distinct_ok 0 first_hit None written_hist {} lean 0s (22s; 1 done, 22s/thm, ETA 92 min)
targets_depth3_14: n_ok 522/2000 (nd-only 0, parse-fail 1032) distinct_ok 1 first_hit 8 written_hist {7: 1} lean 4s (15s; 2 done, 18s/thm, ETA 76 min)
targets_depth3_16: n_ok 4/2000 (nd-only 0, parse-fail 1965) distinct_ok 1 first_hit 89 written_hist {7: 1} lean 2s (19s; 3 done, 18s/thm, ETA 76 min)
targets_depth3_22: n_ok 4/2000 (nd-only 0, parse-fail 1803) distinct_ok 3 first_hit 73 written_hist {7: 1, 8: 2} lean 3s (21s; 4 done, 19s/thm, ETA 78 min)
targets_depth3_23: n_ok 0/2000 (nd-only 0, parse-fail 714) distinct_ok 0 first_hit None written_hist {} lean 0s (16s; 5 done, 18s/thm, ETA 76 min)
targets_depth3_27: n_ok 0/2000 (nd-only 0, parse-fail 1800) distinct_ok 0 first_hit None written_hist {} lean 0s (11s; 6 done, 17s/thm, ETA 70 min)
targets_depth3_33: n_ok 46/2000 (nd-only 0, parse-fail 214) distinct_ok 4 first_hit 12 written_hist {7: 4} lean 0s (6s; 7 done, 16s/thm, ETA 64 min)
targets_depth3_37: n_ok 5/2000 (nd-only 0, parse-fail 87) distinct_ok 1 first_hit 807 written_hist {7: 1} lean 0s (6s; 8 done, 14s/thm, ETA 58 min)
targets_depth3_39: n_ok 5/2000 (nd-only 0, parse-fail 320) distinct_ok 1 first_hit 142 written_hist {7: 1} lean 0s (7s; 9 done, 14s/thm, ETA 55 min)
targets_depth3_40: n_ok 0/2000 (nd-only 0, parse-fail 1984) distinct_ok 0 first_hit None written_hist {} lean 0s (6s; 10 done, 13s/thm, ETA 52 min)
targets_depth3_41: n_ok 3/2000 (nd-only 0, parse-fail 219) distinct_ok 1 first_hit 320 written_hist {7: 1} lean 0s (8s; 11 done, 12s/thm, ETA 50 min)
targets_depth3_46: n_ok 10/2000 (nd-only 0, parse-fail 1788) distinct_ok 1 first_hit 10 written_hist {7: 1} lean 0s (10s; 12 done, 12s/thm, ETA 49 min)
targets_depth3_62: n_ok 0/2000 (nd-only 0, parse-fail 924) distinct_ok 0 first_hit None written_hist {} lean 0s (10s; 13 done, 12s/thm, ETA 48 min)
targets_depth3_63: n_ok 8/2000 (nd-only 0, parse-fail 1479) distinct_ok 1 first_hit 336 written_hist {7: 1} lean 0s (8s; 14 done, 12s/thm, ETA 46 min)
targets_depth3_64: n_ok 23/2000 (nd-only 0, parse-fail 1251) distinct_ok 1 first_hit 105 written_hist {7: 1} lean 0s (9s; 15 done, 12s/thm, ETA 45 min)
targets_depth3_70: n_ok 57/2000 (nd-only 0, parse-fail 1899) distinct_ok 1 first_hit 131 written_hist {7: 1} lean 0s (8s; 16 done, 11s/thm, ETA 44 min)
targets_depth3_71: n_ok 0/2000 (nd-only 0, parse-fail 1781) distinct_ok 0 first_hit None written_hist {} lean 0s (8s; 17 done, 11s/thm, ETA 43 min)
targets_depth3_73: n_ok 45/2000 (nd-only 0, parse-fail 1882) distinct_ok 2 first_hit 20 written_hist {7: 1, 8: 1} lean 0s (9s; 18 done, 11s/thm, ETA 43 min)
targets_depth3_75: n_ok 191/2000 (nd-only 0, parse-fail 1655) distinct_ok 1 first_hit 3 written_hist {7: 1} lean 0s (8s; 19 done, 11s/thm, ETA 42 min)
targets_depth3_82: n_ok 17/2000 (nd-only 0, parse-fail 1884) distinct_ok 2 first_hit 95 written_hist {7: 1, 8: 1} lean 0s (9s; 20 done, 11s/thm, ETA 41 min)
targets_depth3_84: n_ok 199/2000 (nd-only 0, parse-fail 462) distinct_ok 1 first_hit 3 written_hist {7: 1} lean 0s (7s; 21 done, 11s/thm, ETA 40 min)
targets_depth3_91: n_ok 3/2000 (nd-only 0, parse-fail 1965) distinct_ok 1 first_hit 346 written_hist {7: 1} lean 0s (9s; 22 done, 10s/thm, ETA 40 min)
targets_depth3_93: n_ok 68/2000 (nd-only 0, parse-fail 237) distinct_ok 1 first_hit 5 written_hist {7: 1} lean 0s (9s; 23 done, 10s/thm, ETA 39 min)
targets_depth3_95: n_ok 23/2000 (nd-only 0, parse-fail 726) distinct_ok 2 first_hit 52 written_hist {7: 1, 8: 1} lean 0s (8s; 24 done, 10s/thm, ETA 39 min)
targets_depth3_97: n_ok 1/2000 (nd-only 0, parse-fail 16) distinct_ok 1 first_hit 412 written_hist {7: 1} lean 0s (7s; 25 done, 10s/thm, ETA 38 min)
targets_depth3_101: n_ok 5/2000 (nd-only 0, parse-fail 1994) distinct_ok 1 first_hit 205 written_hist {7: 1} lean 0s (9s; 26 done, 10s/thm, ETA 38 min)
targets_depth3_103: n_ok 5/2000 (nd-only 0, parse-fail 1815) distinct_ok 1 first_hit 341 written_hist {7: 1} lean 0s (7s; 27 done, 10s/thm, ETA 37 min)
targets_depth3_111: n_ok 1/2000 (nd-only 0, parse-fail 1968) distinct_ok 1 first_hit 1576 written_hist {7: 1} lean 0s (7s; 28 done, 10s/thm, ETA 37 min)
targets_depth3_118: n_ok 143/2000 (nd-only 0, parse-fail 413) distinct_ok 1 first_hit 28 written_hist {7: 1} lean 0s (7s; 29 done, 10s/thm, ETA 36 min)
targets_depth3_119: n_ok 0/2000 (nd-only 0, parse-fail 1995) distinct_ok 0 first_hit None written_hist {} lean 0s (12s; 30 done, 10s/thm, ETA 36 min)
targets_depth3_122: n_ok 99/2000 (nd-only 0, parse-fail 517) distinct_ok 1 first_hit 9 written_hist {7: 1} lean 0s (8s; 31 done, 10s/thm, ETA 36 min)
